#T	E/N	M/N	C/N	Xi/N
0.9201	-0.0136363	0.00136134	0.00386065	0.00481411
0.9301	-0.0135976	0.0013644	0.00387229	0.00478246
0.9401	-0.0135589	0.0013674	0.00388266	0.00475115
0.9501	-0.01352	0.00137034	0.00389179	0.00472018
0.9601	-0.013481	0.00137322	0.00389974	0.00468955
0.9701	-0.013442	0.00137605	0.00390656	0.00465925
0.9801	-0.0134029	0.00137882	0.00391228	0.00462928
0.9901	-0.0133638	0.00138154	0.00391696	0.00459962
1.0001	-0.0133246	0.00138421	0.00392064	0.00457029
1.0101	-0.0132853	0.00138683	0.00392336	0.00454128
1.0201	-0.0132461	0.00138939	0.00392516	0.00451258
1.0301	-0.0132068	0.00139191	0.00392609	0.00448418
1.0401	-0.0131676	0.00139438	0.00392617	0.00445609
1.0501	-0.0131283	0.0013968	0.00392546	0.00442831
1.0601	-0.0130891	0.00139918	0.00392398	0.00440082
1.0701	-0.0130498	0.00140152	0.00392176	0.00437362
1.0801	-0.0130106	0.00140381	0.00391886	0.00434672
1.0901	-0.0129715	0.00140606	0.00391528	0.0043201
1.1001	-0.0129323	0.00140826	0.00391108	0.00429377
1.1101	-0.0128933	0.00141043	0.00390627	0.00426772
1.1201	-0.0128542	0.00141256	0.00390088	0.00424194
1.1301	-0.0128152	0.00141465	0.00389495	0.00421644
1.1401	-0.0127763	0.00141671	0.0038885	0.0041912
1.1501	-0.0127375	0.00141872	0.00388156	0.00416623
1.1601	-0.0126987	0.00142071	0.00387415	0.00414152
1.1701	-0.01266	0.00142266	0.00386629	0.00411707
1.1801	-0.0126214	0.00142457	0.00385801	0.00409288
1.1901	-0.0125828	0.00142645	0.00384934	0.00406893
1.2001	-0.0125444	0.0014283	0.00384028	0.00404523
1.2101	-0.012506	0.00143012	0.00383086	0.00402178
1.2201	-0.0124678	0.00143191	0.0038211	0.00399857
1.2301	-0.0124296	0.00143367	0.00381103	0.00397559
1.2401	-0.0123915	0.00143539	0.00380065	0.00395285
1.2501	-0.0123536	0.00143709	0.00378998	0.00393034
1.2601	-0.0123157	0.00143877	0.00377904	0.00390806
1.2701	-0.012278	0.00144041	0.00376785	0.003886
1.2801	-0.0122404	0.00144203	0.00375642	0.00386416
1.2901	-0.0122029	0.00144362	0.00374477	0.00384254
1.3001	-0.0121655	0.00144519	0.0037329	0.00382113
1.3101	-0.0121282	0.00144673	0.00372084	0.00379994
1.3201	-0.0120911	0.00144825	0.00370859	0.00377895
1.3301	-0.0120541	0.00144974	0.00369617	0.00375817
1.3401	-0.0120172	0.00145121	0.00368359	0.00373759
1.3501	-0.0119804	0.00145265	0.00367085	0.0037172
1.3601	-0.0119437	0.00145408	0.00365798	0.00369702
1.3701	-0.0119072	0.00145548	0.00364497	0.00367703
1.3801	-0.0118708	0.00145686	0.00363185	0.00365723
1.3901	-0.0118346	0.00145821	0.00361861	0.00363762
1.4001	-0.0117985	0.00145955	0.00360527	0.0036182
1.4101	-0.0117625	0.00146087	0.00359184	0.00359895
1.4201	-0.0117266	0.00146216	0.00357832	0.00357989
1.4301	-0.0116909	0.00146344	0.00356472	0.00356101
1.4401	-0.0116553	0.00146469	0.00355105	0.0035423
1.4501	-0.0116199	0.00146593	0.00353731	0.00352377
1.4601	-0.0115846	0.00146715	0.00352352	0.0035054
1.4701	-0.0115494	0.00146835	0.00350967	0.00348721
1.4801	-0.0115144	0.00146953	0.00349578	0.00346918
