8
3115
0
0
2 -62 -26
28 -62 -24
190 -62 -22
892 -62 -20
3276 -62 -18
9796 -62 -16
24634 -62 -14
54028 -62 -12
104898 -62 -10
179058 -62 -8
266634 -62 -6
347760 -62 -4
403182 -62 -2
422508 -62 0
403182 -62 2
347760 -62 4
266634 -62 6
179058 -62 8
104898 -62 10
54028 -62 12
24634 -62 14
9796 -62 16
3276 -62 18
892 -62 20
190 -62 22
28 -62 24
2 -62 26
8 -60 -30
142 -60 -28
1090 -60 -26
5675 -60 -24
22736 -60 -22
72507 -60 -20
190584 -60 -18
432212 -60 -16
875798 -60 -14
1608425 -60 -12
2682252 -60 -10
4059177 -60 -8
5578414 -60 -6
6977518 -60 -4
7967006 -60 -2
8324464 -60 0
7967006 -60 2
6977518 -60 4
5578414 -60 6
4059177 -60 8
2682252 -60 10
1608425 -60 12
875798 -60 14
432212 -60 16
190584 -60 18
72507 -60 20
22736 -60 22
5675 -60 24
1090 -60 26
142 -60 28
8 -60 30
70 -58 -32
954 -58 -30
6794 -58 -28
35126 -58 -26
144402 -58 -24
485744 -58 -22
1370500 -58 -20
3329016 -58 -18
7112992 -58 -16
13590224 -58 -14
23495868 -58 -12
37039204 -58 -10
53497360 -58 -8
71032142 -58 -6
86895518 -58 -4
98051366 -58 -2
102080544 -58 0
98051366 -58 2
86895518 -58 4
71032142 -58 6
53497360 -58 8
37039204 -58 10
23495868 -58 12
13590224 -58 14
7112992 -58 16
3329016 -58 18
1370500 -58 20
485744 -58 22
144402 -58 24
35126 -58 26
6794 -58 28
954 -58 30
70 -58 32
272 -56 -34
3508 -56 -32
25266 -56 -30
132802 -56 -28
557896 -56 -26
1951292 -56 -24
5824386 -56 -22
15123150 -56 -20
34673326 -56 -18
71022512 -56 -16
131227664 -56 -14
220499120 -56 -12
339167012 -56 -10
479983720 -56 -8
627147690 -56 -6
758243712 -56 -4
849353704 -56 -2
882034800 -56 0
849353704 -56 2
758243712 -56 4
627147690 -56 6
479983720 -56 8
339167012 -56 10
220499120 -56 12
131227664 -56 14
71022512 -56 16
34673326 -56 18
15123150 -56 20
5824386 -56 22
1951292 -56 24
557896 -56 26
132802 -56 28
25266 -56 30
3508 -56 32
272 -56 34
616 -54 -36
8720 -54 -34
67650 -54 -32
373676 -54 -30
1633518 -54 -28
5950946 -54 -26
18601268 -54 -24
50892302 -54 -22
123641778 -54 -20
269539524 -54 -18
531543448 -54 -16
954480850 -54 -14
1569281824 -54 -12
2373373870 -54 -10
3314382102 -54 -8
4285986726 -54 -6
5142820816 -54 -4
5733975402 -54 -2
5945217992 -54 0
5733975402 -54 2
5142820816 -54 4
4285986726 -54 6
3314382102 -54 8
2373373870 -54 10
1569281824 -54 12
954480850 -54 14
531543448 -54 16
269539524 -54 18
123641778 -54 20
50892302 -54 22
18601268 -54 24
5950946 -54 26
1633518 -54 28
373676 -54 30
67650 -54 32
8720 -54 34
616 -54 36
720 -52 -38
13124 -52 -36
118054 -52 -34
723266 -52 -32
3432508 -52 -30
13430636 -52 -28
44867376 -52 -26
130886539 -52 -24
338736044 -52 -22
786740247 -52 -20
1654199392 -52 -18
3170035850 -52 -16
5566478768 -52 -14
8995235371 -52 -12
13424424414 -52 -10
18556259933 -52 -8
23812777482 -52 -6
28420532206 -52 -4
31586996986 -52 -2
32716349144 -52 0
31586996986 -52 2
28420532206 -52 4
23812777482 -52 6
18556259933 -52 8
13424424414 -52 10
8995235371 -52 12
5566478768 -52 14
3170035850 -52 16
1654199392 -52 18
786740247 -52 20
338736044 -52 22
130886539 -52 24
44867376 -52 26
13430636 -52 28
3432508 -52 30
723266 -52 32
118054 -52 34
13124 -52 36
720 -52 38
544 -50 -40
14616 -50 -38
156438 -50 -36
1079776 -50 -34
5630010 -50 -32
23880080 -50 -30
85834732 -50 -28
268258916 -50 -26
741975890 -50 -24
1839276946 -50 -22
4124643082 -50 -20
8428174550 -50 -18
15781282534 -50 -16
27199994942 -50 -14
43309652568 -50 -12
63894276418 -50 -10
87546590572 -50 -8
111623771664 -50 -6
132637047044 -50 -4
147036766492 -50 -2
152165361972 -50 0
147036766492 -50 2
132637047044 -50 4
111623771664 -50 6
87546590572 -50 8
63894276418 -50 10
43309652568 -50 12
27199994942 -50 14
15781282534 -50 16
8428174550 -50 18
4124643082 -50 20
1839276946 -50 22
741975890 -50 24
268258916 -50 26
85834732 -50 28
23880080 -50 30
5630010 -50 32
1079776 -50 34
156438 -50 36
14616 -50 38
544 -50 40
192 -48 -42
10600 -48 -40
147860 -48 -38
1204314 -48 -36
7099770 -48 -34
33312598 -48 -32
130745516 -48 -30
442413807 -48 -28
1317310166 -48 -26
3501964437 -48 -24
8400956558 -48 -22
18333392957 -48 -20
36624048558 -48 -18
67304371344 -48 -16
114233164582 -48 -14
179639360159 -48 -12
262419534510 -48 -10
356846338867 -48 -8
452453461546 -48 -6
535578611035 -48 -4
592403628662 -48 -2
612618235604 -48 0
592403628662 -48 2
535578611035 -48 4
452453461546 -48 6
356846338867 -48 8
262419534510 -48 10
179639360159 -48 12
