#T	E/N	M/N	C/N	Xi/N
0.0001	-1.15625	0.08852822354393446	0.0	2721.4042191828503
0.000101	-1.15625	0.08852822354393446	0.0	2694.459622953317
0.00010201000000000001	-1.15625	0.08852822354393446	0.0	2667.781804904274
0.00010303010000000001	-1.15625	0.08852822354393446	0.0	2641.368123667598
0.00010406040100000001	-1.15625	0.08852822354393446	0.0	2615.215964027325
0.00010510100501000002	-1.15625	0.08852822354393446	0.0	2589.3227366607175
0.00010615201506010001	-1.15625	0.08852822354393446	0.0	2563.6858778818987
0.00010721353521070101	-1.15625	0.08852822354393446	0.0	2538.3028493880183
0.00010828567056280802	-1.15625	0.08852822354393446	0.0	2513.171138007939
0.00010936852726843611	-1.15625	0.08852822354393446	0.0	2488.288255453405
0.00011046221254112047	-1.15625	0.08852822354393446	0.0	2463.651738072678
0.00011156683466653167	-1.15625	0.08852822354393446	0.0	2439.259146606612
0.00011268250301319699	-1.15625	0.08852822354393446	0.0	2415.1080659471404
0.00011380932804332896	-1.15625	0.08852822354393446	0.0	2391.196104898159
0.00011494742132376225	-1.15625	0.08852822354393446	0.0	2367.5208959387714
0.00011609689553699987	-1.15625	0.08852822354393446	0.0	2344.0800949888826
0.00011725786449236987	-1.15625	0.08852822354393446	0.0	2320.8713811771113
0.00011843044313729357	-1.15625	0.08852822354393446	0.0	2297.8924566110013
0.00011961474756866651	-1.15625	0.08852822354393446	0.0	2275.141046149506
0.00012081089504435318	-1.15625	0.08852822354393446	0.0	2252.614897177729
0.00012201900399479672	-1.15625	0.08852822354393446	0.0	2230.3117793838896
0.00012323919403474468	-1.15625	0.08852822354393446	0.0	2208.229484538505
0.00012447158597509212	-1.15625	0.08852822354393446	0.0	2186.3658262757476
0.00012571630183484304	-1.15625	0.08852822354393446	0.0	2164.7186398769777
0.00012697346485319145	-1.15625	0.08852822354393446	0.0	2143.285782056414
0.00012824319950172338	-1.15625	0.08852822354393446	0.0	2122.0651307489243
0.0001295256314967406	-1.15625	0.08852822354393446	0.0	2101.0545848999254
0.00013082088781170802	-1.15625	0.08852822354393446	0.0	2080.252064257352
0.0001321290966898251	-1.15625	0.08852822354393446	0.0	2059.6555091656946
0.00013345038765672336	-1.15625	0.08852822354393446	0.0	2039.2628803620737
0.0001347848915332906	-1.15625	0.08852822354393446	0.0	2019.0721587743305
0.0001361327404486235	-1.15625	0.08852822354393446	0.0	1999.0813453211194
0.00013749406785310974	-1.15625	0.08852822354393446	0.0	1979.2884607139795
0.00013886900853164082	-1.15625	0.08852822354393446	0.0	1959.691545261366
0.00014025769861695722	-1.15625	0.08852822354393446	0.0	1940.28865867462
0.0001416602756031268	-1.15625	0.08852822354393446	0.0	1921.0778798758613
0.00014307687835915807	-1.15625	0.08852822354393446	0.0	1902.0573068077833
0.00014450764714274964	-1.15625	0.08852822354393446	0.0	1883.2250562453303
0.00014595272361417715	-1.15625	0.08852822354393446	0.0	1864.5792636092376
0.00014741225085031893	-1.15625	0.08852822354393446	0.0	1846.1180827814233
0.00014888637335882211	-1.15625	0.08852822354393446	0.0	1827.8396859222014
0.00015037523709241033	-1.15625	0.08852822354393446	0.0	1809.7422632893083
0.00015187898946333444	-1.15625	0.08852822354393446	0.0	1791.8240230587212
0.00015339777935796778	-1.15625	0.08852822354393446	0.0	1774.0831911472487
0.00015493175715154746	-1.15625	0.08852822354393446	0.0	1756.51801103688
0.00015648107472306292	-1.15625	0.08852822354393446	0.0	1739.1267436008711
0.00015804588547029355	-1.15625	0.08852822354393446	0.0	1721.9076669315557
0.00015962634432499647	-1.15625	0.08852822354393446	0.0	1704.8590761698572
0.00016122260776824644	-1.15625	0.08852822354393446	0.0	1687.9792833364922
0.0001628348338459289	-1.15625	0.08852822354393446	0.0	1671.2666171648439
0.00016446318218438818	-1.15625	0.08852822354393446	0.0	1654.719422935489
0.00016610781400623208	-1.15625	0.08852822354393446	0.0	1638.3360623123654
0.0001677688921462944	-1.15625	0.08852822354393446	0.0	1622.1149131805598
0.00016944658106775735	-1.15625	0.08852822354393446	0.0	1606.0543694857026
0.00017114104687843492	-1.15625	0.08852822354393446	0.0	1590.1528410749531
0.00017285245734721926	-1.15625	0.08852822354393446	0.0	1574.4087535395577
0.00017458098192069146	-1.15625	0.08852822354393446	0.0	1558.820548058968
0.00017632679173989837	-1.15625	0.08852822354393446	0.0	1543.386681246503
0.00017809005965729736	-1.15625	0.08852822354393446	0.0	1528.1056249965375
0.00017987096025387034	-1.15625	0.08852822354393446	0.0	1512.9758663332054
0.00018166966985640905	-1.15625	0.08852822354393446	0.0	1497.9959072605993
0.00018348636655497315	-1.15625	0.08852822354393446	0.0	1483.1642646144546
0.00018532123022052289	-1.15625	0.08852822354393446	0.0	1468.4794699153017
0.00018717444252272812	-1.15625	0.08852822354393446	0.0	1453.9400692230709
0.0001890461869479554	-1.15625	0.08852822354393446	0.0	1439.5446229931395
0.00019093664881743498	-1.15625	0.08852822354393446	0.0	1425.2917059338013
0.00019284601530560934	-1.15625	0.08852822354393446	0.0	1411.1799068651496
0.00019477447545866543	-1.15625	0.08852822354393446	0.0	1397.2078285793561
0.0001967222202132521	-1.15625	0.08852822354393446	0.0	1383.3740877023326
