Файлы с максимумом в m=0 (всего: 369)
====================================================================================================

№    Название файла                                     Ключ     Фрустрация   Точек   
85   gem_glass64_J-38_3.dat  key=-80.0  Fr=16.0    N=11
86   gem_glass64_J-38_5.dat  key=-84.0  Fr=14.0    N=11
87   gem_glass64_J-38_6.dat  key=-82.0  Fr=15.0    N=13
88   gem_glass64_J-38_7.dat  key=-78.0  Fr=17.0    N=5
89   gem_glass64_J-38_9.dat  key=-82.0  Fr=15.0    N=13
90   gem_glass64_J-40_1.dat  key=-82.0  Fr=15.0    N=7
91   gem_glass64_J-40_3.dat  key=-76.0  Fr=18.0    N=11
92   gem_glass64_J-40_4.dat  key=-76.0  Fr=18.0    N=13
93   gem_glass64_J-40_5.dat  key=-78.0  Fr=17.0    N=13
94   gem_glass64_J-40_6.dat  key=-84.0  Fr=14.0    N=11
95   gem_glass64_J-42_2.dat  key=-82.0  Fr=15.0    N=7
96   gem_glass64_J-42_3.dat  key=-78.0  Fr=17.0    N=13
97   gem_glass64_J-42_4.dat  key=-82.0  Fr=15.0    N=7
98   gem_glass64_J-42_6.dat  key=-80.0  Fr=16.0    N=11
99   gem_glass64_J-42_8.dat  key=-86.0  Fr=13.0    N=3
100  gem_glass64_J-42_9.dat  key=-78.0  Fr=17.0    N=11
101  gem_glass64_J-44_4.dat  key=-82.0  Fr=15.0    N=11
102  gem_glass64_J-44_5.dat  key=-82.0  Fr=15.0    N=7
103  gem_glass64_J-44_6.dat  key=-78.0  Fr=17.0    N=9
104  gem_glass64_J-44_9.dat  key=-80.0  Fr=16.0    N=9
105  gem_glass64_J-46_0.dat  key=-88.0  Fr=12.0    N=5
106  gem_glass64_J-46_1.dat  key=-82.0  Fr=15.0    N=11
107  gem_glass64_J-46_3.dat  key=-84.0  Fr=14.0    N=5
108  gem_glass64_J-46_5.dat  key=-78.0  Fr=17.0    N=15
109  gem_glass64_J-46_6.dat  key=-82.0  Fr=15.0    N=3
110  gem_glass64_J-46_7.dat  key=-82.0  Fr=15.0    N=13
111  gem_glass64_J-48_1.dat  key=-88.0  Fr=12.0    N=5
112  gem_glass64_J-48_2.dat  key=-76.0  Fr=18.0    N=15
113  gem_glass64_J-48_4.dat  key=-86.0  Fr=13.0    N=7
114  gem_glass64_J-4_4.dat  key=-82.0  Fr=15.0    N=7
115  gem_glass64_J-4_6.dat  key=-76.0  Fr=18.0    N=21
116  gem_glass64_J-4_8.dat  key=-84.0  Fr=14.0    N=17
117  gem_glass64_J-4_9.dat  key=-78.0  Fr=17.0    N=17
118  gem_glass64_J-50_0.dat  key=-88.0  Fr=12.0    N=3
119  gem_glass64_J-50_1.dat  key=-84.0  Fr=14.0    N=9
120  gem_glass64_J-50_2.dat  key=-78.0  Fr=17.0    N=9
121  gem_glass64_J-50_4.dat  key=-84.0  Fr=14.0    N=9
122  gem_glass64_J-52_1.dat  key=-86.0  Fr=13.0    N=7
123  gem_glass64_J-52_2.dat  key=-80.0  Fr=16.0    N=13
