название; max C; T(maxC); max Xi; T(maxXi); G; f
term_gem_glass64_J106_8_H0.0.dat;0.755561042;1.80531577;156.25;0.0001;4;3
term_gem_glass64_J-106_8_H0.0.dat;0.742203734;1.87861883;312.5;0.0001;8;3
term_gem_glass64_J-102_0_H0.0.dat;0.677061926;1.787441357;0.05187789;2.608819343;2;4
term_gem_glass64_J-102_2_H0.0.dat;0.718739778;1.769743917;0.051151843;2.687869178;2;4
term_gem_glass64_J-104_3_H0.0.dat;0.68674571;1.823368928;0.04975368;2.769314302;2;4
term_gem_glass64_J-104_5_H0.0.dat;0.712331091;1.667178825;0.049801431;2.741895348;2;4
term_gem_glass64_J-104_8_H0.0.dat;0.703561251;1.7522217;0.049883451;2.741895348;2;4
term_gem_glass64_J-104_9_H0.0.dat;0.741537075;1.634328816;0.049785161;2.71474787;2;4
term_gem_glass64_J102_4_H0.0.dat;0.706475938;1.7522217;2.111831471;1.787441357;2;4
term_gem_glass64_J102_6_H0.0.dat;0.694280377;1.787441357;2.096773809;1.80531577;2;4
term_gem_glass64_J104_1_H0.0.dat;0.747679939;1.667178825;3.016408672;1.650672104;2;4
term_gem_glass64_J104_3_H0.0.dat;0.689689008;1.683850613;2.810988142;1.555007791;2;4
term_gem_glass64_J104_8_H0.0.dat;0.693776617;1.860018643;1.87768087;1.897405018;2;4
term_gem_glass64_J-104_0_H0.0.dat;0.71256154;1.734872971;156.25;0.0001;4;4
term_gem_glass64_J-104_2_H0.0.dat;0.69941789;1.841602617;0.049838716;2.769314302;4;4
term_gem_glass64_J-104_6_H0.0.dat;0.70963631;1.769743917;156.25;0.0001;4;4
term_gem_glass64_J104_2_H0.0.dat;0.706095303;1.823368928;156.25;0.0001;4;4
term_gem_glass64_J104_9_H0.0.dat;0.717406824;1.897405018;156.25;0.0001;4;4
term_gem_glass64_J-104_1_H0.0.dat;0.700694439;1.841602617;138.8888889;0.0001;6;4
term_gem_glass64_J-104_4_H0.0.dat;0.727559495;1.80531577;138.8888889;0.0001;6;4
term_gem_glass64_J104_0_H0.0.dat;0.662146253;1.769743917;416.6666667;0.0001;6;4
term_gem_glass64_J104_6_H0.0.dat;0.736051409;1.734872971;416.6666667;0.0001;6;4
term_gem_glass64_J104_4_H0.0.dat;0.697232152;1.897405018;10156.25;0.0001;8;4
term_gem_glass64_J-100_9_H0.0.dat;0.660176298;1.841602617;0.051898043;2.661256612;2;5
term_gem_glass64_J-102_3_H0.0.dat;0.691411236;1.634328816;0.050753311;2.661256612;2;5
term_gem_glass64_J-102_4_H0.0.dat;0.638534388;1.823368928;0.050906613;2.71474787;2;5
term_gem_glass64_J-102_7_H0.0.dat;0.667567436;1.683850613;0.051008567;2.661256612;2;5
term_gem_glass64_J-98_9_H0.0.dat;0.653260403;1.700689119;0.054428046;2.507024111;2;5
term_gem_glass64_J100_0_H0.0.dat;0.639368745;1.717696011;2.364647475;1.618147342;2;5
term_gem_glass64_J100_4_H0.0.dat;0.664684325;1.717696011;2.322474037;1.667178825;2;5
term_gem_glass64_J102_5_H0.0.dat;0.67009504;1.667178825;2.355692831;1.650672104;2;5
term_gem_glass64_J102_7_H0.0.dat;0.629890279;1.700689119;4.764176984;1.287142016;2;5
term_gem_glass64_J102_8_H0.0.dat;0.677617678;1.700689119;2.436853614;1.683850613;2;5
term_gem_glass64_J102_9_H0.0.dat;0.68479567;1.683850613;2.262571727;1.717696011;2;5
term_gem_glass64_J-102_1_H0.0.dat;0.676953652;1.734872971;156.25;0.0001;4;5
term_gem_glass64_J-102_6_H0.0.dat;0.663002077;1.80531577;156.25;0.0001;4;5
term_gem_glass64_J-102_8_H0.0.dat;0.654711426;1.734872971;0.04992265;2.769314302;4;5
term_gem_glass64_J-102_9_H0.0.dat;0.679728099;1.734872971;0.051199858;2.661256612;4;5
term_gem_glass64_J102_0_H0.0.dat;0.655168511;1.769743917;156.25;0.0001;4;5
term_gem_glass64_J102_2_H0.0.dat;0.634596881;1.769743917;156.25;0.0001;4;5
term_gem_glass64_J98_8_H0.0.dat;0.692943471;1.734872971;156.25;0.0001;4;5
term_gem_glass64_J98_9_H0.0.dat;0.677552128;1.683850613;156.25;0.0001;4;5
term_gem_glass64_J-102_5_H0.0.dat;0.651492077;1.717696011;138.8888889;0.0001;6;5
term_gem_glass64_J102_1_H0.0.dat;0.705769968;1.700689119;416.6666667;0.0001;6;5
term_gem_glass64_J98_0_H0.0.dat;0.658593506;1.841602617;972.2222222;0.0001;6;5
term_gem_glass64_J102_3_H0.0.dat;0.665519451;1.769743917;781.25;0.0001;8;5
term_gem_glass64_J-100_0_H0.0.dat;0.651003699;1.634328816;0.052094201;2.582989448;2;6
term_gem_glass64_J-100_1_H0.0.dat;0.631730468;1.683850613;0.052267609;2.557415295;2;6
term_gem_glass64_J-100_8_H0.0.dat;0.615952043;1.618147342;0.051545826;2.608819343;2;6
term_gem_glass64_J-96_8_H0.0.dat;0.611265293;1.683850613;0.056320248;2.361730118;2;6
term_gem_glass64_J-98_1_H0.0.dat;0.661971489;1.570557868;0.053606828;2.507024111;2;6
term_gem_glass64_J-98_3_H0.0.dat;0.634430107;1.667178825;0.054026394;2.457625832;2;6
term_gem_glass64_J-98_8_H0.0.dat;0.562946216;1.80531577;0.052275158;2.661256612;2;6
term_gem_glass64_J100_1_H0.0.dat;0.655144659;1.667178825;2.386814906;1.683850613;2;6
term_gem_glass64_J100_8_H0.0.dat;0.576745452;1.618147342;4.681398422;1.274398036;2;6
term_gem_glass64_J98_5_H0.0.dat;0.621512202;1.700689119;2.616765336;1.524367994;2;6
term_gem_glass64_J-100_2_H0.0.dat;0.636051522;1.700689119;156.25;0.0001;4;6
term_gem_glass64_J-100_3_H0.0.dat;0.661801209;1.555007791;156.25;0.0001;4;6
term_gem_glass64_J-100_5_H0.0.dat;0.644245425;1.650672104;156.25;0.0001;4;6
term_gem_glass64_J100_2_H0.0.dat;0.685175745;1.570557868;156.25;0.0001;4;6
term_gem_glass64_J100_5_H0.0.dat;0.622748606;1.787441357;156.25;0.0001;4;6
term_gem_glass64_J100_6_H0.0.dat;0.649629477;1.650672104;156.25;0.0001;4;6
term_gem_glass64_J100_9_H0.0.dat;0.622529876;1.717696011;156.25;0.0001;4;6
term_gem_glass64_J96_1_H0.0.dat;0.646328611;1.602126082;156.25;0.0001;4;6
term_gem_glass64_J96_3_H0.0.dat;0.62937509;1.667178825;156.25;0.0001;4;6
term_gem_glass64_J96_6_H0.0.dat;0.63314686;1.717696011;972.2222222;0.0001;6;6
term_gem_glass64_J96_7_H0.0.dat;0.594288424;1.717696011;416.6666667;0.0001;6;6
term_gem_glass64_J-100_7_H0.0.dat;0.641739878;1.717696011;156.25;0.0001;8;6
term_gem_glass64_J-98_5_H0.0.dat;0.640101687;1.717696011;312.5;0.0001;8;6
term_gem_glass64_J100_7_H0.0.dat;0.629303849;1.717696011;10156.25;0.0001;8;6
term_gem_glass64_J-100_6_H0.0.dat;0.635642509;1.717696011;150;0.0001;10;6
term_gem_glass64_J-100_4_H0.0.dat;0.659181764;1.769743917;153.0612245;0.0001;14;6
term_gem_glass64_J100_3_H0.0.dat;0.67993137;1.769743917;3122.222222;0.0001;30;6
term_gem_glass64_J98_2_H0.0.dat;0.574952256;1.650672104;2.389862524;1.524367994;2;7
term_gem_glass64_J98_4_H0.0.dat;0.605479223;1.570557868;2.680990332;1.42180555;2;7
term_gem_glass64_J-94_2_H0.0.dat;0.603345798;1.570557868;156.25;0.0001;4;7
term_gem_glass64_J-98_6_H0.0.dat;0.596891691;1.667178825;156.25;0.0001;4;7
term_gem_glass64_J96_4_H0.0.dat;0.560797683;1.700689119;156.25;0.0001;4;7
term_gem_glass64_J-94_8_H0.0.dat;0.59140337;1.717696011;138.8888889;0.0001;6;7
term_gem_glass64_J-98_4_H0.0.dat;0.582726969;1.634328816;138.8888889;0.0001;6;7
term_gem_glass64_J-94_7_H0.0.dat;0.596485173;1.683850613;156.25;0.0001;8;7
term_gem_glass64_J-96_1_H0.0.dat;0.586297149;1.602126082;312.5;0.0001;8;7
term_gem_glass64_J-96_7_H0.0.dat;0.594855304;1.570557868;312.5;0.0001;8;7
term_gem_glass64_J-98_0_H0.0.dat;0.601492925;1.634328816;156.25;0.0001;8;7
term_gem_glass64_J92_3_H0.0.dat;0.613656127;1.618147342;1562.5;0.0001;8;7
term_gem_glass64_J96_5_H0.0.dat;0.620334929;1.700689119;781.25;0.0001;8;7
term_gem_glass64_J98_1_H0.0.dat;0.655888836;1.667178825;312.5;0.0001;8;7
term_gem_glass64_J98_6_H0.0.dat;0.583599609;1.717696011;312.5;0.0001;8;7
term_gem_glass64_J84_3_H0.0.dat;0.617946821;1.734872971;295.1388889;0.0001;12;7
term_gem_glass64_J92_0_H0.0.dat;0.634943421;1.667178825;1961.805556;0.0001;12;7
term_gem_glass64_J98_3_H0.0.dat;0.642349087;1.683850613;1128.472222;0.0001;12;7
term_gem_glass64_J98_7_H0.0.dat;0.597158627;1.734872971;5156.25;0.0001;16;7
term_gem_glass64_J-98_2_H0.0.dat;0.623777142;1.717696011;154.9586777;0.0001;22;7
term_gem_glass64_J96_0_H0.0.dat;0.594980446;1.80531577;14045.13889;0.0001;24;7
term_gem_glass64_J96_9_H0.0.dat;0.592076648;1.841602617;1128.472222;0.0001;24;7
term_gem_glass64_J-98_7_H0.0.dat;0.605803409;1.841602617;156.25;0.0001;36;7
term_gem_glass64_J-92_5_H0.0.dat;0.517303084;1.717696011;0.057044238;2.361730118;2;8
term_gem_glass64_J-96_4_H0.0.dat;0.54577778;1.539611674;0.053598362;2.433292903;2;8
term_gem_glass64_J78_6_H0.0.dat;0.552826838;1.570557868;1.236857137;1.586263447;2;8
term_gem_glass64_J86_9_H0.0.dat;0.545522659;1.586263447;2.886132003;1.097702079;2;8
term_gem_glass64_J-90_2_H0.0.dat;0.538158972;1.650672104;156.25;0.0001;4;8
term_gem_glass64_J-90_7_H0.0.dat;0.538585091;1.7522217;156.25;0.0001;4;8
term_gem_glass64_J-92_4_H0.0.dat;0.528275661;1.586263447;156.25;0.0001;4;8
term_gem_glass64_J-96_2_H0.0.dat;0.542527867;1.667178825;156.25;0.0001;4;8
term_gem_glass64_J-96_6_H0.0.dat;0.524000435;1.717696011;156.25;0.0001;4;8
term_gem_glass64_J90_6_H0.0.dat;0.532710639;1.700689119;156.25;0.0001;4;8
term_gem_glass64_J92_1_H0.0.dat;0.613929309;1.494331922;1406.25;0.0001;4;8
term_gem_glass64_J94_2_H0.0.dat;0.570423809;1.539611674;156.25;0.0001;4;8
term_gem_glass64_J94_5_H0.0.dat;0.543414437;1.667178825;156.25;0.0001;4;8
term_gem_glass64_J94_9_H0.0.dat;0.59305407;1.555007791;156.25;0.0001;4;8
term_gem_glass64_J94_1_H0.0.dat;0.558445474;1.618147342;10138.88889;0.0001;6;8
term_gem_glass64_J-86_0_H0.0.dat;0.573763694;1.555007791;781.25;0.0001;8;8
term_gem_glass64_J-92_0_H0.0.dat;0.576227004;1.494331922;312.5;0.0001;8;8
term_gem_glass64_J-94_5_H0.0.dat;0.563801795;1.650672104;312.5;0.0001;8;8
term_gem_glass64_J-96_0_H0.0.dat;0.549511264;1.667178825;156.25;0.0001;8;8
term_gem_glass64_J-76_7_H0.0.dat;0.528986949;1.683850613;295.1388889;0.0001;12;8
