Файлы с максимумом НЕ в m=0 (всего: 637)
====================================================================================================

№    Название файла                                     Ключ     Фрустрация   Точек    m(max)    
313  gem_glass64_J26_1.dat  key=-74.0  Fr=19.0    N=29      m=-12.000
314  gem_glass64_J26_3.dat  key=-86.0  Fr=13.0    N=21      m=-10.000
315  gem_glass64_J26_5.dat  key=-86.0  Fr=13.0    N=10      m=-12.000
316  gem_glass64_J26_6.dat  key=-84.0  Fr=14.0    N=20      m=-12.000
317  gem_glass64_J26_7.dat  key=-82.0  Fr=15.0    N=13      m=-4.000
318  gem_glass64_J26_8.dat  key=-74.0  Fr=19.0    N=31      m=-10.000
319  gem_glass64_J26_9.dat  key=-78.0  Fr=17.0    N=27      m=-8.000
320  gem_glass64_J28_5.dat  key=-84.0  Fr=14.0    N=14      m=-8.000
321  gem_glass64_J28_8.dat  key=-82.0  Fr=15.0    N=7       m=-4.000
322  gem_glass64_J2_1.dat  key=-82.0  Fr=15.0    N=17      m=-4.000
323  gem_glass64_J2_3.dat  key=-88.0  Fr=12.0    N=5       m=-4.000
324  gem_glass64_J2_5.dat  key=-80.0  Fr=16.0    N=9       m=-4.000
325  gem_glass64_J2_8.dat  key=-76.0  Fr=18.0    N=13      m=-2.000
326  gem_glass64_J30_2.dat  key=-80.0  Fr=16.0    N=19      m=-6.000
327  gem_glass64_J30_3.dat  key=-88.0  Fr=12.0    N=14      m=-20.000
328  gem_glass64_J30_4.dat  key=-82.0  Fr=15.0    N=22      m=-14.000
329  gem_glass64_J30_5.dat  key=-80.0  Fr=16.0    N=15      m=-8.000
330  gem_glass64_J30_6.dat  key=-82.0  Fr=15.0    N=12      m=-20.000
331  gem_glass64_J30_7.dat  key=-84.0  Fr=14.0    N=22      m=-10.000
332  gem_glass64_J30_8.dat  key=-88.0  Fr=12.0    N=18      m=-14.000
333  gem_glass64_J30_9.dat  key=-86.0  Fr=13.0    N=12      m=-22.000
334  gem_glass64_J32_0.dat  key=-86.0  Fr=13.0    N=8       m=-8.000
335  gem_glass64_J32_1.dat  key=-84.0  Fr=14.0    N=14      m=-18.000
336  gem_glass64_J32_2.dat  key=-84.0  Fr=14.0    N=13      m=-2.000
337  gem_glass64_J32_4.dat  key=-86.0  Fr=13.0    N=13      m=-2.000
338  gem_glass64_J32_5.dat  key=-78.0  Fr=17.0    N=27      m=-2.000
339  gem_glass64_J32_7.dat  key=-78.0  Fr=17.0    N=25      m=-6.000
340  gem_glass64_J32_9.dat  key=-88.0  Fr=12.0    N=16      m=-20.000
341  gem_glass64_J34_0.dat  key=-82.0  Fr=15.0    N=17      m=-6.000
342  gem_glass64_J34_1.dat  key=-84.0  Fr=14.0    N=29      m=-22.000
343  gem_glass64_J34_3.dat  key=-78.0  Fr=17.0    N=29      m=-12.000
344  gem_glass64_J34_5.dat  key=-80.0  Fr=16.0    N=23      m=-14.000
345  gem_glass64_J34_8.dat  key=-80.0  Fr=16.0    N=6       m=-24.000
346  gem_glass64_J36_0.dat  key=-82.0  Fr=15.0    N=11      m=-4.000
347  gem_glass64_J36_1.dat  key=-86.0  Fr=13.0    N=11      m=-6.000
348  gem_glass64_J36_3.dat  key=-86.0  Fr=13.0    N=18      m=-16.000
349  gem_glass64_J36_4.dat  key=-80.0  Fr=16.0    N=16      m=-6.000
350  gem_glass64_J36_5.dat  key=-88.0  Fr=12.0    N=10      m=-28.000
351  gem_glass64_J36_6.dat  key=-84.0  Fr=14.0    N=8       m=-26.000
352  gem_glass64_J36_7.dat  key=-82.0  Fr=15.0    N=33      m=-8.000
353  gem_glass64_J36_8.dat  key=-82.0  Fr=15.0    N=21      m=-6.000
354  gem_glass64_J36_9.dat  key=-86.0  Fr=13.0    N=8       m=-22.000
355  gem_glass64_J38_0.dat  key=-78.0  Fr=17.0    N=30      m=-26.000
356  gem_glass64_J38_3.dat  key=-80.0  Fr=16.0    N=23      m=-14.000
357  gem_glass64_J38_5.dat  key=-80.0  Fr=16.0    N=37      m=-14.000
358  gem_glass64_J38_7.dat  key=-76.0  Fr=18.0    N=21      m=-2.000
359  gem_glass64_J38_8.dat  key=-82.0  Fr=15.0    N=31      m=-14.000
360  gem_glass64_J40_0.dat  key=-88.0  Fr=12.0    N=13      m=-6.000
361  gem_glass64_J40_3.dat  key=-80.0  Fr=16.0    N=29      m=-12.000
362  gem_glass64_J40_4.dat  key=-80.0  Fr=16.0    N=5       m=-2.000
363  gem_glass64_J40_5.dat  key=-80.0  Fr=16.0    N=29      m=-10.000
364  gem_glass64_J40_7.dat  key=-86.0  Fr=13.0    N=10      m=-12.000
365  gem_glass64_J40_8.dat  key=-88.0  Fr=12.0    N=4       m=-10.000
366  gem_glass64_J42_0.dat  key=-80.0  Fr=16.0    N=25      m=-14.000
367  gem_glass64_J42_1.dat  key=-88.0  Fr=12.0    N=23      m=-8.000
368  gem_glass64_J42_3.dat  key=-84.0  Fr=14.0    N=37      m=-26.000
369  gem_glass64_J42_4.dat  key=-82.0  Fr=15.0    N=33      m=-22.000
370  gem_glass64_J42_5.dat  key=-84.0  Fr=14.0    N=20      m=-16.000
371  gem_glass64_J42_6.dat  key=-86.0  Fr=13.0    N=10      m=-22.000
372  gem_glass64_J42_7.dat  key=-80.0  Fr=16.0    N=15      m=-6.000
373  gem_glass64_J44_0.dat  key=-86.0  Fr=13.0    N=6       m=-4.000
374  gem_glass64_J44_1.dat  key=-82.0  Fr=15.0    N=10      m=-16.000
375  gem_glass64_J44_2.dat  key=-82.0  Fr=15.0    N=8       m=-18.000
376  gem_glass64_J44_3.dat  key=-84.0  Fr=14.0    N=4       m=-18.000
377  gem_glass64_J44_4.dat  key=-82.0  Fr=15.0    N=6       m=-24.000
378  gem_glass64_J44_6.dat  key=-86.0  Fr=13.0    N=32      m=-10.000
379  gem_glass64_J44_7.dat  key=-76.0  Fr=18.0    N=18      m=-16.000
380  gem_glass64_J44_8.dat  key=-84.0  Fr=14.0    N=10      m=-26.000
381  gem_glass64_J44_9.dat  key=-84.0  Fr=14.0    N=12      m=-24.000
382  gem_glass64_J46_1.dat  key=-80.0  Fr=16.0    N=27      m=-6.000
383  gem_glass64_J46_3.dat  key=-84.0  Fr=14.0    N=17      m=-2.000
384  gem_glass64_J46_4.dat  key=-86.0  Fr=13.0    N=12      m=-24.000
385  gem_glass64_J46_5.dat  key=-84.0  Fr=14.0    N=18      m=-10.000
386  gem_glass64_J46_6.dat  key=-84.0  Fr=14.0    N=6       m=-18.000
387  gem_glass64_J46_8.dat  key=-82.0  Fr=15.0    N=23      m=-24.000
388  gem_glass64_J46_9.dat  key=-84.0  Fr=14.0    N=21      m=-2.000
389  gem_glass64_J48_0.dat  key=-84.0  Fr=14.0    N=6       m=-22.000
390  gem_glass64_J48_2.dat  key=-82.0  Fr=15.0    N=9       m=-4.000
391  gem_glass64_J48_3.dat  key=-84.0  Fr=14.0    N=15      m=-8.000
392  gem_glass64_J48_4.dat  key=-78.0  Fr=17.0    N=25      m=-4.000
393  gem_glass64_J48_6.dat  key=-78.0  Fr=17.0    N=29      m=-16.000
394  gem_glass64_J48_7.dat  key=-82.0  Fr=15.0    N=15      m=-10.000
395  gem_glass64_J48_8.dat  key=-78.0  Fr=17.0    N=25      m=-10.000
396  gem_glass64_J48_9.dat  key=-82.0  Fr=15.0    N=25      m=-4.000
397  gem_glass64_J4_0.dat  key=-82.0  Fr=15.0    N=19      m=-6.000
398  gem_glass64_J4_2.dat  key=-84.0  Fr=14.0    N=8       m=-12.000
399  gem_glass64_J4_3.dat  key=-84.0  Fr=14.0    N=4       m=-4.000
400  gem_glass64_J4_4.dat  key=-82.0  Fr=15.0    N=16      m=-8.000
401  gem_glass64_J4_5.dat  key=-80.0  Fr=16.0    N=13      m=-4.000
402  gem_glass64_J4_6.dat  key=-82.0  Fr=15.0    N=12      m=-10.000
403  gem_glass64_J4_7.dat  key=-88.0  Fr=12.0    N=20      m=-14.000
404  gem_glass64_J4_9.dat  key=-78.0  Fr=17.0    N=19      m=-8.000
405  gem_glass64_J50_0.dat  key=-80.0  Fr=16.0    N=41      m=-24.000
406  gem_glass64_J50_2.dat  key=-86.0  Fr=13.0    N=16      m=-12.000
407  gem_glass64_J50_5.dat  key=-78.0  Fr=17.0    N=32      m=-14.000
408  gem_glass64_J50_6.dat  key=-90.0  Fr=11.0    N=4       m=-28.000
409  gem_glass64_J50_8.dat  key=-82.0  Fr=15.0    N=37      m=-10.000
410  gem_glass64_J50_9.dat  key=-84.0  Fr=14.0    N=18      m=-18.000
411  gem_glass64_J52_0.dat  key=-90.0  Fr=11.0    N=22      m=-20.000
412  gem_glass64_J52_1.dat  key=-80.0  Fr=16.0    N=22      m=-22.000
413  gem_glass64_J52_2.dat  key=-80.0  Fr=16.0    N=10      m=-8.000
414  gem_glass64_J52_3.dat  key=-84.0  Fr=14.0    N=17      m=-6.000
415  gem_glass64_J52_4.dat  key=-84.0  Fr=14.0    N=22      m=-26.000
416  gem_glass64_J52_7.dat  key=-88.0  Fr=12.0    N=6       m=-14.000
417  gem_glass64_J52_8.dat  key=-86.0  Fr=13.0    N=25      m=-16.000
418  gem_glass64_J52_9.dat  key=-82.0  Fr=15.0    N=43      m=-26.000
419  gem_glass64_J54_1.dat  key=-88.0  Fr=12.0    N=14      m=-10.000
420  gem_glass64_J54_2.dat  key=-80.0  Fr=16.0    N=30      m=-12.000
421  gem_glass64_J54_3.dat  key=-80.0  Fr=16.0    N=23      m=-10.000
422  gem_glass64_J54_4.dat  key=-78.0  Fr=17.0    N=37      m=-8.000
423  gem_glass64_J54_5.dat  key=-82.0  Fr=15.0    N=26      m=-14.000
424  gem_glass64_J54_6.dat  key=-84.0  Fr=14.0    N=21      m=-2.000
425  gem_glass64_J54_7.dat  key=-82.0  Fr=15.0    N=8       m=-18.000
426  gem_glass64_J54_8.dat  key=-90.0  Fr=11.0    N=4       m=-12.000
427  gem_glass64_J54_9.dat  key=-80.0  Fr=16.0    N=41      m=-6.000
428  gem_glass64_J56_1.dat  key=-92.0  Fr=10.0    N=14      m=-30.000
429  gem_glass64_J56_2.dat  key=-84.0  Fr=14.0    N=37      m=-16.000
430  gem_glass64_J56_3.dat  key=-80.0  Fr=16.0    N=33      m=-18.000
431  gem_glass64_J56_4.dat  key=-86.0  Fr=13.0    N=8       m=-18.000
432  gem_glass64_J56_5.dat  key=-78.0  Fr=17.0    N=33      m=-14.000
433  gem_glass64_J56_6.dat  key=-80.0  Fr=16.0    N=15      m=-4.000
434  gem_glass64_J56_9.dat  key=-82.0  Fr=15.0    N=8       m=-14.000
435  gem_glass64_J58_0.dat  key=-80.0  Fr=16.0    N=31      m=-12.000
436  gem_glass64_J58_1.dat  key=-84.0  Fr=14.0    N=33      m=-6.000
437  gem_glass64_J58_2.dat  key=-88.0  Fr=12.0    N=4       m=-4.000
438  gem_glass64_J58_3.dat  key=-80.0  Fr=16.0    N=19      m=-10.000
439  gem_glass64_J58_5.dat  key=-84.0  Fr=14.0    N=19      m=-8.000
440  gem_glass64_J58_6.dat  key=-88.0  Fr=12.0    N=8       m=-10.000
441  gem_glass64_J58_7.dat  key=-82.0  Fr=15.0    N=22      m=-10.000
442  gem_glass64_J58_8.dat  key=-82.0  Fr=15.0    N=16      m=-14.000
443  gem_glass64_J60_0.dat  key=-92.0  Fr=10.0    N=4       m=-32.000
444  gem_glass64_J60_1.dat  key=-78.0  Fr=17.0    N=45      m=-18.000
445  gem_glass64_J60_2.dat  key=-86.0  Fr=13.0    N=18      m=-20.000
446  gem_glass64_J60_3.dat  key=-82.0  Fr=15.0    N=29      m=-10.000
447  gem_glass64_J60_5.dat  key=-82.0  Fr=15.0    N=12      m=-38.000
448  gem_glass64_J60_6.dat  key=-86.0  Fr=13.0    N=20      m=-14.000
449  gem_glass64_J60_8.dat  key=-80.0  Fr=16.0    N=34      m=-24.000
450  gem_glass64_J60_9.dat  key=-82.0  Fr=15.0    N=31      m=-14.000
451  gem_glass64_J62_0.dat  key=-90.0  Fr=11.0    N=11      m=-8.000
452  gem_glass64_J62_2.dat  key=-90.0  Fr=11.0    N=14      m=-28.000
453  gem_glass64_J62_3.dat  key=-82.0  Fr=15.0    N=23      m=-20.000
454  gem_glass64_J62_4.dat  key=-80.0  Fr=16.0    N=55      m=-30.000
455  gem_glass64_J62_5.dat  key=-80.0  Fr=16.0    N=28      m=-18.000
456  gem_glass64_J62_6.dat  key=-82.0  Fr=15.0    N=33      m=-18.000
457  gem_glass64_J62_7.dat  key=-86.0  Fr=13.0    N=6       m=-14.000
458  gem_glass64_J62_8.dat  key=-84.0  Fr=14.0    N=15      m=-10.000
459  gem_glass64_J62_9.dat  key=-80.0  Fr=16.0    N=23      m=-12.000
460  gem_glass64_J64_0.dat  key=-86.0  Fr=13.0    N=7       m=-4.000
461  gem_glass64_J64_2.dat  key=-74.0  Fr=19.0    N=51      m=-26.000
462  gem_glass64_J64_3.dat  key=-84.0  Fr=14.0    N=32      m=-12.000
463  gem_glass64_J64_4.dat  key=-82.0  Fr=15.0    N=13      m=-2.000
464  gem_glass64_J64_5.dat  key=-86.0  Fr=13.0    N=48      m=-34.000
465  gem_glass64_J64_7.dat  key=-84.0  Fr=14.0    N=18      m=-32.000
466  gem_glass64_J64_8.dat  key=-86.0  Fr=13.0    N=8       m=-28.000
467  gem_glass64_J64_9.dat  key=-84.0  Fr=14.0    N=12      m=-20.000
468  gem_glass64_J66_0.dat  key=-80.0  Fr=16.0    N=12      m=-4.000
469  gem_glass64_J66_1.dat  key=-84.0  Fr=14.0    N=26      m=-18.000
470  gem_glass64_J66_2.dat  key=-86.0  Fr=13.0    N=39      m=-2.000
471  gem_glass64_J66_4.dat  key=-80.0  Fr=16.0    N=22      m=-22.000
472  gem_glass64_J66_5.dat  key=-82.0  Fr=15.0    N=30      m=-36.000
473  gem_glass64_J66_6.dat  key=-86.0  Fr=13.0    N=27      m=-8.000
474  gem_glass64_J66_7.dat  key=-84.0  Fr=14.0    N=13      m=-6.000
475  gem_glass64_J66_8.dat  key=-82.0  Fr=15.0    N=23      m=-14.000
476  gem_glass64_J66_9.dat  key=-78.0  Fr=17.0    N=37      m=-12.000
477  gem_glass64_J68_2.dat  key=-84.0  Fr=14.0    N=16      m=-38.000
478  gem_glass64_J68_3.dat  key=-80.0  Fr=16.0    N=16      m=-34.000
479  gem_glass64_J68_4.dat  key=-84.0  Fr=14.0    N=12      m=-30.000
480  gem_glass64_J68_6.dat  key=-88.0  Fr=12.0    N=8       m=-40.000
481  gem_glass64_J68_7.dat  key=-86.0  Fr=13.0    N=28      m=-22.000
482  gem_glass64_J68_8.dat  key=-84.0  Fr=14.0    N=14      m=-8.000
483  gem_glass64_J68_9.dat  key=-80.0  Fr=16.0    N=46      m=-18.000
484  gem_glass64_J6_0.dat  key=-80.0  Fr=16.0    N=18      m=-10.000
485  gem_glass64_J6_1.dat  key=-80.0  Fr=16.0    N=7       m=-2.000
486  gem_glass64_J6_3.dat  key=-82.0  Fr=15.0    N=16      m=-10.000
487  gem_glass64_J6_4.dat  key=-82.0  Fr=15.0    N=20      m=-12.000
488  gem_glass64_J6_5.dat  key=-86.0  Fr=13.0    N=20      m=-14.000
489  gem_glass64_J6_6.dat  key=-82.0  Fr=15.0    N=8       m=-6.000
490  gem_glass64_J6_8.dat  key=-84.0  Fr=14.0    N=15      m=-8.000
491  gem_glass64_J6_9.dat  key=-82.0  Fr=15.0    N=10      m=-6.000
492  gem_glass64_J70_0.dat  key=-86.0  Fr=13.0    N=24      m=-42.000
493  gem_glass64_J70_1.dat  key=-90.0  Fr=11.0    N=6       m=-24.000
494  gem_glass64_J70_2.dat  key=-82.0  Fr=15.0    N=20      m=-18.000
495  gem_glass64_J70_3.dat  key=-82.0  Fr=15.0    N=19      m=-6.000
496  gem_glass64_J70_4.dat  key=-88.0  Fr=12.0    N=8       m=-36.000
497  gem_glass64_J70_5.dat  key=-86.0  Fr=13.0    N=23      m=-36.000
498  gem_glass64_J70_6.dat  key=-86.0  Fr=13.0    N=10      m=-10.000
499  gem_glass64_J70_7.dat  key=-84.0  Fr=14.0    N=22      m=-24.000
500  gem_glass64_J70_8.dat  key=-86.0  Fr=13.0    N=22      m=-12.000
501  gem_glass64_J70_9.dat  key=-84.0  Fr=14.0    N=34      m=-34.000
502  gem_glass64_J72_0.dat  key=-84.0  Fr=14.0    N=33      m=-14.000
503  gem_glass64_J72_1.dat  key=-88.0  Fr=12.0    N=12      m=-20.000
504  gem_glass64_J72_2.dat  key=-88.0  Fr=12.0    N=12      m=-36.000
505  gem_glass64_J72_5.dat  key=-86.0  Fr=13.0    N=26      m=-24.000
506  gem_glass64_J72_6.dat  key=-84.0  Fr=14.0    N=42      m=-22.000
507  gem_glass64_J72_8.dat  key=-82.0  Fr=15.0    N=30      m=-30.000
508  gem_glass64_J72_9.dat  key=-86.0  Fr=13.0    N=10      m=-14.000
509  gem_glass64_J74_0.dat  key=-88.0  Fr=12.0    N=40      m=-40.000
510  gem_glass64_J74_1.dat  key=-86.0  Fr=13.0    N=18      m=-32.000
511  gem_glass64_J74_2.dat  key=-82.0  Fr=15.0    N=35      m=-22.000
512  gem_glass64_J74_3.dat  key=-86.0  Fr=13.0    N=28      m=-14.000
513  gem_glass64_J74_4.dat  key=-84.0  Fr=14.0    N=22      m=-46.000
514  gem_glass64_J74_5.dat  key=-88.0  Fr=12.0    N=30      m=-28.000
515  gem_glass64_J74_6.dat  key=-94.0  Fr=9.0     N=10      m=-34.000
516  gem_glass64_J74_7.dat  key=-86.0  Fr=13.0    N=14      m=-44.000
517  gem_glass64_J74_8.dat  key=-88.0  Fr=12.0    N=14      m=-12.000
518  gem_glass64_J74_9.dat  key=-90.0  Fr=11.0    N=4       m=-42.000
519  gem_glass64_J76_0.dat  key=-82.0  Fr=15.0    N=40      m=-28.000
520  gem_glass64_J76_2.dat  key=-90.0  Fr=11.0    N=12      m=-38.000
521  gem_glass64_J76_3.dat  key=-88.0  Fr=12.0    N=22      m=-44.000
522  gem_glass64_J76_4.dat  key=-92.0  Fr=10.0    N=10      m=-18.000
523  gem_glass64_J76_5.dat  key=-84.0  Fr=14.0    N=43      m=-8.000
524  gem_glass64_J76_6.dat  key=-88.0  Fr=12.0    N=14      m=-16.000
525  gem_glass64_J76_7.dat  key=-82.0  Fr=15.0    N=44      m=-44.000
526  gem_glass64_J76_8.dat  key=-88.0  Fr=12.0    N=10      m=-48.000
527  gem_glass64_J76_9.dat  key=-86.0  Fr=13.0    N=46      m=-36.000
528  gem_glass64_J78_0.dat  key=-86.0  Fr=13.0    N=42      m=-38.000
529  gem_glass64_J78_1.dat  key=-86.0  Fr=13.0    N=34      m=-10.000
530  gem_glass64_J78_2.dat  key=-88.0  Fr=12.0    N=18      m=-22.000
531  gem_glass64_J78_3.dat  key=-86.0  Fr=13.0    N=8       m=-54.000
532  gem_glass64_J78_4.dat  key=-86.0  Fr=13.0    N=26      m=-20.000
533  gem_glass64_J78_5.dat  key=-86.0  Fr=13.0    N=8       m=-18.000
534  gem_glass64_J78_7.dat  key=-88.0  Fr=12.0    N=16      m=-54.000
535  gem_glass64_J78_8.dat  key=-90.0  Fr=11.0    N=20      m=-36.000
536  gem_glass64_J78_9.dat  key=-88.0  Fr=12.0    N=49      m=-32.000
537  gem_glass64_J80_0.dat  key=-88.0  Fr=12.0    N=5       m=-2.000
538  gem_glass64_J80_1.dat  key=-82.0  Fr=15.0    N=56      m=-18.000
539  gem_glass64_J80_2.dat  key=-88.0  Fr=12.0    N=34      m=-34.000
540  gem_glass64_J80_3.dat  key=-92.0  Fr=10.0    N=4       m=-38.000
541  gem_glass64_J80_4.dat  key=-90.0  Fr=11.0    N=12      m=-12.000
542  gem_glass64_J80_5.dat  key=-92.0  Fr=10.0    N=24      m=-28.000
543  gem_glass64_J80_7.dat  key=-84.0  Fr=14.0    N=56      m=-32.000
544  gem_glass64_J80_8.dat  key=-92.0  Fr=10.0    N=6       m=-24.000
545  gem_glass64_J80_9.dat  key=-90.0  Fr=11.0    N=4       m=-4.000
546  gem_glass64_J82_0.dat  key=-86.0  Fr=13.0    N=38      m=-26.000
547  gem_glass64_J82_1.dat  key=-88.0  Fr=12.0    N=48      m=-40.000
548  gem_glass64_J82_2.dat  key=-86.0  Fr=13.0    N=12      m=-58.000
549  gem_glass64_J82_3.dat  key=-90.0  Fr=11.0    N=20      m=-52.000
550  gem_glass64_J82_4.dat  key=-86.0  Fr=13.0    N=14      m=-58.000
551  gem_glass64_J82_5.dat  key=-90.0  Fr=11.0    N=32      m=-40.000
552  gem_glass64_J82_6.dat  key=-94.0  Fr=9.0     N=8       m=-18.000
553  gem_glass64_J82_7.dat  key=-92.0  Fr=10.0    N=6       m=-32.000
554  gem_glass64_J82_8.dat  key=-88.0  Fr=12.0    N=42      m=-12.000
555  gem_glass64_J82_9.dat  key=-86.0  Fr=13.0    N=22      m=-52.000
556  gem_glass64_J84_0.dat  key=-92.0  Fr=10.0    N=8       m=-58.000
557  gem_glass64_J84_1.dat  key=-88.0  Fr=12.0    N=8       m=-56.000
558  gem_glass64_J84_2.dat  key=-92.0  Fr=10.0    N=16      m=-34.000
559  gem_glass64_J84_3.dat  key=-98.0  Fr=7.0     N=6       m=-54.000
560  gem_glass64_J84_4.dat  key=-90.0  Fr=11.0    N=30      m=-50.000
561  gem_glass64_J84_5.dat  key=-90.0  Fr=11.0    N=16      m=-20.000
562  gem_glass64_J84_6.dat  key=-92.0  Fr=10.0    N=20      m=-56.000
563  gem_glass64_J84_7.dat  key=-92.0  Fr=10.0    N=16      m=-36.000
564  gem_glass64_J84_8.dat  key=-88.0  Fr=12.0    N=16      m=-54.000
565  gem_glass64_J86_0.dat  key=-90.0  Fr=11.0    N=30      m=-56.000
566  gem_glass64_J86_1.dat  key=-90.0  Fr=11.0    N=20      m=-50.000
567  gem_glass64_J86_2.dat  key=-90.0  Fr=11.0    N=12      m=-54.000
568  gem_glass64_J86_3.dat  key=-88.0  Fr=12.0    N=24      m=-50.000
569  gem_glass64_J86_4.dat  key=-86.0  Fr=13.0    N=30      m=-56.000
570  gem_glass64_J86_5.dat  key=-92.0  Fr=10.0    N=12      m=-58.000
571  gem_glass64_J86_6.dat  key=-96.0  Fr=8.0     N=10      m=-38.000
572  gem_glass64_J86_7.dat  key=-92.0  Fr=10.0    N=4       m=-60.000
573  gem_glass64_J86_8.dat  key=-88.0  Fr=12.0    N=12      m=-56.000
574  gem_glass64_J88_0.dat  key=-96.0  Fr=8.0     N=12      m=-48.000
575  gem_glass64_J88_1.dat  key=-90.0  Fr=11.0    N=23      m=-10.000
576  gem_glass64_J88_2.dat  key=-88.0  Fr=12.0    N=24      m=-58.000
577  gem_glass64_J88_3.dat  key=-88.0  Fr=12.0    N=10      m=-58.000
578  gem_glass64_J88_4.dat  key=-94.0  Fr=9.0     N=16      m=-56.000
579  gem_glass64_J88_5.dat  key=-90.0  Fr=11.0    N=8       m=-54.000
580  gem_glass64_J88_6.dat  key=-92.0  Fr=10.0    N=8       m=-16.000
581  gem_glass64_J88_7.dat  key=-92.0  Fr=10.0    N=15      m=-54.000
582  gem_glass64_J88_8.dat  key=-92.0  Fr=10.0    N=4       m=-56.000
583  gem_glass64_J88_9.dat  key=-94.0  Fr=9.0     N=4       m=-56.000
584  gem_glass64_J8_0.dat  key=-84.0  Fr=14.0    N=10      m=-12.000
585  gem_glass64_J8_1.dat  key=-84.0  Fr=14.0    N=15      m=-6.000
586  gem_glass64_J8_3.dat  key=-82.0  Fr=15.0    N=22      m=-8.000
587  gem_glass64_J8_4.dat  key=-82.0  Fr=15.0    N=19      m=-6.000
588  gem_glass64_J8_5.dat  key=-80.0  Fr=16.0    N=13      m=-2.000
589  gem_glass64_J8_6.dat  key=-80.0  Fr=16.0    N=10      m=-6.000
590  gem_glass64_J8_7.dat  key=-84.0  Fr=14.0    N=27      m=-6.000
591  gem_glass64_J90_0.dat  key=-94.0  Fr=9.0     N=8       m=-60.000
592  gem_glass64_J90_1.dat  key=-90.0  Fr=11.0    N=8       m=-62.000
593  gem_glass64_J90_2.dat  key=-92.0  Fr=10.0    N=14      m=-34.000
594  gem_glass64_J90_3.dat  key=-96.0  Fr=8.0     N=8       m=-60.000
595  gem_glass64_J90_4.dat  key=-90.0  Fr=11.0    N=10      m=-60.000
596  gem_glass64_J90_5.dat  key=-92.0  Fr=10.0    N=8       m=-60.000
597  gem_glass64_J90_6.dat  key=-96.0  Fr=8.0     N=4       m=-56.000
598  gem_glass64_J90_7.dat  key=-94.0  Fr=9.0     N=4       m=-62.000
599  gem_glass64_J90_8.dat  key=-94.0  Fr=9.0     N=8       m=-58.000
600  gem_glass64_J90_9.dat  key=-92.0  Fr=10.0    N=42      m=-22.000
601  gem_glass64_J92_0.dat  key=-98.0  Fr=7.0     N=10      m=-52.000
602  gem_glass64_J92_1.dat  key=-96.0  Fr=8.0     N=4       m=-56.000
603  gem_glass64_J92_2.dat  key=-94.0  Fr=9.0     N=4       m=-48.000
604  gem_glass64_J92_3.dat  key=-98.0  Fr=7.0     N=8       m=-62.000
605  gem_glass64_J92_4.dat  key=-92.0  Fr=10.0    N=10      m=-60.000
606  gem_glass64_J92_5.dat  key=-94.0  Fr=9.0     N=6       m=-26.000
607  gem_glass64_J92_6.dat  key=-94.0  Fr=9.0     N=8       m=-16.000
608  gem_glass64_J92_7.dat  key=-94.0  Fr=9.0     N=12      m=-56.000
609  gem_glass64_J92_8.dat  key=-94.0  Fr=9.0     N=6       m=-58.000
610  gem_glass64_J92_9.dat  key=-94.0  Fr=9.0     N=4       m=-62.000
611  gem_glass64_J94_0.dat  key=-94.0  Fr=9.0     N=8       m=-64.000
612  gem_glass64_J94_1.dat  key=-96.0  Fr=8.0     N=6       m=-62.000
613  gem_glass64_J94_2.dat  key=-96.0  Fr=8.0     N=4       m=-40.000
614  gem_glass64_J94_3.dat  key=-94.0  Fr=9.0     N=20      m=-62.000
615  gem_glass64_J94_4.dat  key=-94.0  Fr=9.0     N=10      m=-62.000
616  gem_glass64_J94_5.dat  key=-96.0  Fr=8.0     N=4       m=-60.000
617  gem_glass64_J94_6.dat  key=-94.0  Fr=9.0     N=12      m=-62.000
618  gem_glass64_J94_7.dat  key=-96.0  Fr=8.0     N=12      m=-56.000
619  gem_glass64_J94_8.dat  key=-94.0  Fr=9.0     N=4       m=-64.000
620  gem_glass64_J94_9.dat  key=-96.0  Fr=8.0     N=4       m=-62.000
621  gem_glass64_J96_0.dat  key=-98.0  Fr=7.0     N=14      m=-60.000
622  gem_glass64_J96_1.dat  key=-100.0  Fr=6.0     N=4       m=-62.000
623  gem_glass64_J96_2.dat  key=-96.0  Fr=8.0     N=12      m=-62.000
624  gem_glass64_J96_3.dat  key=-100.0  Fr=6.0     N=4       m=-60.000
625  gem_glass64_J96_4.dat  key=-98.0  Fr=7.0     N=4       m=-62.000
626  gem_glass64_J96_5.dat  key=-98.0  Fr=7.0     N=8       m=-60.000
627  gem_glass64_J96_6.dat  key=-100.0  Fr=6.0     N=6       m=-62.000
628  gem_glass64_J96_7.dat  key=-100.0  Fr=6.0     N=6       m=-46.000
629  gem_glass64_J96_8.dat  key=-96.0  Fr=8.0     N=8       m=-62.000
630  gem_glass64_J96_9.dat  key=-98.0  Fr=7.0     N=10      m=-58.000
631  gem_glass64_J98_0.dat  key=-102.0  Fr=5.0     N=6       m=-58.000
632  gem_glass64_J98_1.dat  key=-98.0  Fr=7.0     N=6       m=-62.000
633  gem_glass64_J98_3.dat  key=-98.0  Fr=7.0     N=10      m=-58.000
634  gem_glass64_J98_6.dat  key=-98.0  Fr=7.0     N=6       m=-62.000
635  gem_glass64_J98_7.dat  key=-98.0  Fr=7.0     N=12      m=-56.000
636  gem_glass64_J98_8.dat  key=-102.0  Fr=5.0     N=4       m=-60.000
