Файлы с максимумом НЕ в m=0 (всего: 637)
====================================================================================================

№    Название файла                                     Ключ     Фрустрация   Точек    m(max)    
71   gem_glass64_J-32_4.dat  key=-76.0  Fr=18.0    N=21      m=-4.000
72   gem_glass64_J-32_6.dat  key=-84.0  Fr=14.0    N=15      m=-6.000
73   gem_glass64_J-34_1.dat  key=-88.0  Fr=12.0    N=7       m=-4.000
74   gem_glass64_J-34_2.dat  key=-86.0  Fr=13.0    N=9       m=-6.000
75   gem_glass64_J-34_4.dat  key=-82.0  Fr=15.0    N=11      m=-4.000
76   gem_glass64_J-34_6.dat  key=-86.0  Fr=13.0    N=9       m=-4.000
77   gem_glass64_J-34_8.dat  key=-86.0  Fr=13.0    N=10      m=-12.000
78   gem_glass64_J-34_9.dat  key=-80.0  Fr=16.0    N=11      m=-2.000
79   gem_glass64_J-36_0.dat  key=-86.0  Fr=13.0    N=8       m=-10.000
80   gem_glass64_J-36_3.dat  key=-84.0  Fr=14.0    N=5       m=-2.000
81   gem_glass64_J-36_4.dat  key=-80.0  Fr=16.0    N=13      m=-2.000
82   gem_glass64_J-36_6.dat  key=-80.0  Fr=16.0    N=15      m=-4.000
83   gem_glass64_J-36_7.dat  key=-84.0  Fr=14.0    N=5       m=-2.000
84   gem_glass64_J-36_9.dat  key=-86.0  Fr=13.0    N=9       m=-2.000
85   gem_glass64_J-38_1.dat  key=-86.0  Fr=13.0    N=7       m=-2.000
86   gem_glass64_J-38_4.dat  key=-74.0  Fr=19.0    N=13      m=-6.000
87   gem_glass64_J-38_8.dat  key=-80.0  Fr=16.0    N=4       m=-6.000
88   gem_glass64_J-40_0.dat  key=-82.0  Fr=15.0    N=10      m=-4.000
89   gem_glass64_J-40_2.dat  key=-78.0  Fr=17.0    N=17      m=-6.000
90   gem_glass64_J-40_7.dat  key=-80.0  Fr=16.0    N=15      m=-4.000
91   gem_glass64_J-40_8.dat  key=-88.0  Fr=12.0    N=9       m=-4.000
92   gem_glass64_J-40_9.dat  key=-88.0  Fr=12.0    N=17      m=-10.000
93   gem_glass64_J-42_0.dat  key=-86.0  Fr=13.0    N=6       m=-6.000
94   gem_glass64_J-42_1.dat  key=-84.0  Fr=14.0    N=12      m=-6.000
95   gem_glass64_J-42_5.dat  key=-82.0  Fr=15.0    N=15      m=-4.000
96   gem_glass64_J-42_7.dat  key=-84.0  Fr=14.0    N=6       m=-6.000
97   gem_glass64_J-44_0.dat  key=-78.0  Fr=17.0    N=15      m=-6.000
98   gem_glass64_J-44_1.dat  key=-82.0  Fr=15.0    N=9       m=-2.000
99   gem_glass64_J-44_2.dat  key=-74.0  Fr=19.0    N=17      m=-2.000
100  gem_glass64_J-44_3.dat  key=-86.0  Fr=13.0    N=11      m=-6.000
101  gem_glass64_J-44_7.dat  key=-78.0  Fr=17.0    N=17      m=-6.000
102  gem_glass64_J-44_8.dat  key=-82.0  Fr=15.0    N=11      m=-4.000
103  gem_glass64_J-46_2.dat  key=-80.0  Fr=16.0    N=11      m=-2.000
104  gem_glass64_J-46_4.dat  key=-86.0  Fr=13.0    N=5       m=-2.000
105  gem_glass64_J-46_8.dat  key=-88.0  Fr=12.0    N=6       m=-4.000
