Файлы с 1-2 точками (графики не созданы) (всего: 106)
====================================================================================================

№    Название файла                                     Ключ     Фрустрация   Точек   
86   gem_glass64_J108_6.dat  key=-108.0  Fr=2.0     N=2
87   gem_glass64_J108_7.dat  key=-108.0  Fr=2.0     N=2
88   gem_glass64_J108_8.dat  key=-108.0  Fr=2.0     N=2
89   gem_glass64_J108_9.dat  key=-108.0  Fr=2.0     N=2
90   gem_glass64_J110_0.dat  key=-110.0  Fr=1.0     N=2
91   gem_glass64_J110_1.dat  key=-110.0  Fr=1.0     N=2
92   gem_glass64_J110_2.dat  key=-110.0  Fr=1.0     N=2
93   gem_glass64_J110_3.dat  key=-110.0  Fr=1.0     N=2
94   gem_glass64_J110_5.dat  key=-110.0  Fr=1.0     N=2
95   gem_glass64_J110_6.dat  key=-110.0  Fr=1.0     N=2
96   gem_glass64_J110_8.dat  key=-110.0  Fr=1.0     N=2
97   gem_glass64_J110_9.dat  key=-110.0  Fr=1.0     N=2
98   gem_glass64_J112_9.dat  key=-112.0  Fr=0.0     N=2
99   gem_glass64_J60_7.dat  key=-82.0  Fr=15.0    N=2
100  gem_glass64_J62_1.dat  key=-88.0  Fr=12.0    N=2
101  gem_glass64_J68_5.dat  key=-92.0  Fr=10.0    N=2
102  gem_glass64_J78_6.dat  key=-96.0  Fr=8.0     N=2
103  gem_glass64_J86_9.dat  key=-96.0  Fr=8.0     N=2
104  gem_glass64_J98_2.dat  key=-98.0  Fr=7.0     N=2
105  gem_glass64_J98_4.dat  key=-98.0  Fr=7.0     N=2
106  gem_glass64_J98_5.dat  key=-100.0  Fr=6.0     N=2
