#H	log(g(EgsH))	g(EgsH)	EgsH
1.59	1.38629	4	-121.44
1.6	1.38629	4	-121.6
1.6	1.38629	4	-121.6
1.61	1.38629	4	-121.76
1.62	1.38629	4	-121.92
1.63	1.38629	4	-122.08
1.64	1.38629	4	-122.24
1.65	1.38629	4	-122.4
1.66	1.38629	4	-122.56
1.66667	1.38629	4	-122.667
1.67	1.38629	4	-122.72
1.68	1.38629	4	-122.88
1.69	1.38629	4	-123.04
1.7	1.38629	4	-123.2
1.71	1.38629	4	-123.36
1.72	1.38629	4	-123.52
1.73	1.38629	4	-123.68
1.74	1.38629	4	-123.84
1.75	1.38629	4	-124
1.75	1.38629	4	-124
1.76	1.38629	4	-124.16
1.77	1.38629	4	-124.32
1.78	1.38629	4	-124.48
1.79	1.38629	4	-124.64
1.8	1.38629	4	-124.8
1.8	1.38629	4	-124.8
1.81	1.38629	4	-124.96
1.82	1.38629	4	-125.12
1.83	1.38629	4	-125.28
1.84	1.38629	4	-125.44
1.85	1.38629	4	-125.6
1.86	1.38629	4	-125.76
1.87	1.38629	4	-125.92
1.88	1.38629	4	-126.08
1.89	1.38629	4	-126.24
1.9	1.38629	4	-126.4
1.91	1.38629	4	-126.56
1.92	1.38629	4	-126.72
1.93	1.38629	4	-126.88
1.94	1.38629	4	-127.04
1.95	1.38629	4	-127.2
1.96	1.38629	4	-127.36
1.97	1.38629	4	-127.52
1.98	1.38629	4	-127.68
1.99	1.38629	4	-127.84
2	3.04452	21	-128
2	3.04452	21	-128
2	3.04452	21	-128
2	3.04452	21	-128
2.01	0	1	-128.64
2.02	0	1	-129.28
2.03	0	1	-129.92
2.04	0	1	-130.56
2.05	0	1	-131.2
2.06	0	1	-131.84
2.07	0	1	-132.48
2.08	0	1	-133.12
2.09	0	1	-133.76
2.1	0	1	-134.4
2.11	0	1	-135.04
2.12	0	1	-135.68
2.13	0	1	-136.32
2.14	0	1	-136.96
2.15	0	1	-137.6
2.16	0	1	-138.24
2.17	0	1	-138.88
2.18	0	1	-139.52
2.19	0	1	-140.16
2.2	0	1	-140.8
2.21	0	1	-141.44
2.22	0	1	-142.08
2.23	0	1	-142.72
2.24	0	1	-143.36
2.25	0	1	-144
2.25	0	1	-144
2.26	0	1	-144.64
2.27	0	1	-145.28
2.28	0	1	-145.92
2.29	0	1	-146.56
2.3	0	1	-147.2
2.31	0	1	-147.84
2.32	0	1	-148.48
2.33	0	1	-149.12
2.33333	0	1	-149.333
2.34	0	1	-149.76
2.35	0	1	-150.4
2.36	0	1	-151.04
2.37	0	1	-151.68
2.38	0	1	-152.32
2.39	0	1	-152.96
2.4	0	1	-153.6
2.41	0	1	-154.24
2.42	0	1	-154.88
2.43	0	1	-155.52
2.44	0	1	-156.16
2.45	0	1	-156.8
2.46	0	1	-157.44
2.47	0	1	-158.08
2.48	0	1	-158.72
2.49	0	1	-159.36
2.5	0	1	-160
2.5	0	1	-160
2.51	0	1	-160.64
2.52	0	1	-161.28
2.53	0	1	-161.92
2.54	0	1	-162.56
2.55	0	1	-163.2
2.56	0	1	-163.84
2.57	0	1	-164.48
2.58	0	1	-165.12
2.59	0	1	-165.76
2.6	0	1	-166.4
2.61	0	1	-167.04
2.62	0	1	-167.68
2.63	0	1	-168.32
2.64	0	1	-168.96
2.65	0	1	-169.6
2.66	0	1	-170.24
2.66667	0	1	-170.667
2.67	0	1	-170.88
2.68	0	1	-171.52
2.69	0	1	-172.16
2.7	0	1	-172.8
2.71	0	1	-173.44
2.72	0	1	-174.08
2.73	0	1	-174.72
2.74	0	1	-175.36
2.75	0	1	-176
2.76	0	1	-176.64
2.77	0	1	-177.28
2.78	0	1	-177.92
2.79	0	1	-178.56
2.8	0	1	-179.2
2.81	0	1	-179.84
2.82	0	1	-180.48
2.83	0	1	-181.12
2.84	0	1	-181.76
2.85	0	1	-182.4
2.86	0	1	-183.04
2.87	0	1	-183.68
2.88	0	1	-184.32
2.89	0	1	-184.96
2.9	0	1	-185.6
2.91	0	1	-186.24
2.92	0	1	-186.88
2.93	0	1	-187.52
2.94	0	1	-188.16
2.95	0	1	-188.8
2.96	0	1	-189.44
2.97	0	1	-190.08
2.98	0	1	-190.72
2.99	0	1	-191.36
3	0	1	-192
