#T	E/N	M/N	C/N	Xi/N
0.8101	-0.0272794	2.49468e-005	0.000530442	6.88498e-005
0.8201	-0.0272739	2.68888e-005	0.000564943	7.34353e-005
0.8301	-0.0272681	2.89376e-005	0.000600929	7.82112e-005
0.8401	-0.0272619	3.1096e-005	0.000638427	8.31785e-005
0.8501	-0.0272553	3.3367e-005	0.000677463	8.83379e-005
0.8601	-0.0272483	3.57534e-005	0.000718062	9.36897e-005
0.8701	-0.0272409	3.82579e-005	0.000760248	9.92339e-005
0.8801	-0.0272331	4.08831e-005	0.000804046	0.00010497
0.8901	-0.0272248	4.36317e-005	0.00084948	0.000110898
0.9001	-0.0272161	4.65059e-005	0.000896572	0.000117015
0.9101	-0.0272069	4.95082e-005	0.000945345	0.000123321
0.9201	-0.0271972	5.26408e-005	0.000995822	0.000129815
0.9301	-0.027187	5.59057e-005	0.00104803	0.000136492
0.9401	-0.0271762	5.9305e-005	0.00110198	0.000143352
0.9501	-0.0271649	6.28403e-005	0.0011577	0.000150391
0.9601	-0.0271531	6.65135e-005	0.0012152	0.000157606
0.9701	-0.0271406	7.03261e-005	0.00127453	0.000164993
0.9801	-0.0271276	7.42794e-005	0.00133568	0.00017255
0.9901	-0.0271139	7.83748e-005	0.00139868	0.000180271
1.0001	-0.0270996	8.26132e-005	0.00146356	0.000188153
1.0101	-0.0270846	8.69957e-005	0.00153034	0.000196191
1.0201	-0.027069	9.1523e-005	0.00159903	0.00020438
1.0301	-0.0270526	9.61958e-005	0.00166965	0.000212717
1.0401	-0.0270356	0.000101014	0.00174224	0.000221195
1.0501	-0.0270178	0.000105979	0.0018168	0.00022981
1.0601	-0.0269992	0.000111091	0.00189337	0.000238556
1.0701	-0.0269799	0.000116348	0.00197196	0.00024743
1.0801	-0.0269598	0.000121752	0.00205259	0.000256425
1.0901	-0.0269389	0.000127302	0.00213529	0.000265536
1.1001	-0.0269171	0.000132998	0.00222009	0.000274759
1.1101	-0.0268945	0.000138838	0.002307	0.000284089
1.1201	-0.0268709	0.000144823	0.00239606	0.00029352
1.1301	-0.0268465	0.00015095	0.00248728	0.000303048
1.1401	-0.0268212	0.00015722	0.0025807	0.000312669
1.1501	-0.0267949	0.000163632	0.00267633	0.000322378
1.1601	-0.0267677	0.000170183	0.00277421	0.000332171
1.1701	-0.0267394	0.000176872	0.00287437	0.000342045
1.1801	-0.0267102	0.000183699	0.00297683	0.000351995
1.1901	-0.0266799	0.000190661	0.00308162	0.00036202
1.2001	-0.0266485	0.000197757	0.00318878	0.000372114
1.2101	-0.0266161	0.000204985	0.00329833	0.000382277
1.2201	-0.0265825	0.000212344	0.0034103	0.000392506
1.2301	-0.0265479	0.00021983	0.00352473	0.000402798
1.2401	-0.026512	0.000227443	0.00364164	0.000413153
1.2501	-0.026475	0.00023518	0.00376107	0.000423569
1.2601	-0.0264368	0.00024304	0.00388305	0.000434044
1.2701	-0.0263974	0.000251019	0.00400761	0.000444579
1.2801	-0.0263567	0.000259116	0.00413477	0.000455172
1.2901	-0.0263147	0.000267329	0.00426458	0.000465825
1.3001	-0.0262714	0.000275655	0.00439705	0.000476537
1.3101	-0.0262267	0.000284092	0.00453221	0.000487309
1.3201	-0.0261807	0.000292638	0.00467009	0.000498142
1.3301	-0.0261333	0.00030129	0.00481071	0.000509036
1.3401	-0.0260845	0.000310047	0.00495409	0.000519993
1.3501	-0.0260342	0.000318905	0.00510024	0.000531014
1.3601	-0.0259825	0.000327862	0.00524918	0.000542101
1.3701	-0.0259292	0.000336916	0.00540091	0.000553256
1.3801	-0.0258744	0.000346065	0.00555544	0.000564479
1.3901	-0.0258181	0.000355306	0.00571275	0.000575773
1.4001	-0.0257602	0.000364637	0.00587285	0.000587138
1.4101	-0.0257006	0.000374054	0.00603571	0.000598578
1.4201	-0.0256394	0.000383557	0.0062013	0.000610092
1.4301	-0.0255766	0.000393141	0.0063696	0.000621682
1.4401	-0.025512	0.000402805	0.00654055	0.00063335
1.4501	-0.0254458	0.000412547	0.0067141	0.000645095
1.4601	-0.0253778	0.000422363	0.00689017	0.000656919
1.4701	-0.025308	0.00043225	0.0070687	0.00066882
1.4801	-0.0252364	0.000442207	0.00724958	0.0006808
1.4901	-0.025163	0.00045223	0.00743271	0.000692858
1.5001	-0.0250877	0.000462316	0.00761796	0.000704991
1.5101	-0.0250106	0.000472462	0.00780519	0.000717199
1.5201	-0.0249316	0.000482666	0.00799425	0.000729479
1.5301	-0.0248507	0.000492924	0.00818496	0.000741828
1.5401	-0.0247679	0.000503234	0.00837713	0.000754244
1.5501	-0.0246832	0.00051359	0.00857055	0.000766723
1.5601	-0.0245965	0.000523991	0.00876499	0.000779259
1.5701	-0.0245079	0.000534432	0.0089602	0.000791849
1.5801	-0.0244173	0.00054491	0.00915592	0.000804486
1.5901	-0.0243247	0.00055542	0.00935187	0.000817164
1.6001	-0.0242302	0.000565959	0.00954774	0.000829877
1.6101	-0.0241338	0.000576522	0.0097432	0.000842618
1.6201	-0.0240354	0.000587105	0.00993794	0.000855378
1.6301	-0.023935	0.000597704	0.0101316	0.000868149
1.6401	-0.0238328	0.000608313	0.0103238	0.000880924
1.6501	-0.0237286	0.000618928	0.0105141	0.000893691
1.6601	-0.0236225	0.000629545	0.0107023	0.000906443
1.6701	-0.0235145	0.000640157	0.0108878	0.000919169
1.6801	-0.0234047	0.000650759	0.0110703	0.000931859
1.6901	-0.0232931	0.000661347	0.0112494	0.000944503
1.7001	-0.0231798	0.000671914	0.0114246	0.00095709
1.7101	-0.0230647	0.000682455	0.0115955	0.00096961
1.7201	-0.0229479	0.000692965	0.0117618	0.000982051
1.7301	-0.0228294	0.000703438	0.011923	0.000994405
1.7401	-0.0227094	0.000713868	0.0120787	0.00100666
1.7501	-0.0225879	0.000724249	0.0122286	0.0010188
1.7601	-0.0224649	0.000734575	0.0123722	0.00103083
1.7701	-0.0223405	0.000744841	0.0125093	0.00104273
1.7801	-0.0222147	0.000755042	0.0126394	0.00105448
1.7901	-0.0220877	0.000765171	0.0127624	0.00106609
1.8001	-0.0219595	0.000775223	0.0128778	0.00107754
1.8101	-0.0218302	0.000785192	0.0129855	0.00108883
1.8201	-0.0216998	0.000795074	0.0130852	0.00109994
1.8301	-0.0215685	0.000804864	0.0131767	0.00111087
1.8401	-0.0214363	0.000814556	0.0132598	0.00112161
1.8501	-0.0213033	0.000824145	0.0133345	0.00113216
1.8601	-0.0211696	0.000833628	0.0134005	0.00114251
1.8701	-0.0210353	0.000843	0.0134579	0.00115265
1.8801	-0.0209005	0.000852257	0.0135067	0.00116259
1.8901	-0.0207652	0.000861395	0.0135467	0.00117231
1.9001	-0.0206296	0.000870412	0.0135781	0.00118181
1.9101	-0.0204937	0.000879303	0.0136009	0.00119109
1.9201	-0.0203576	0.000888066	0.0136152	0.00120015
1.9301	-0.0202214	0.000896699	0.0136211	0.00120898
1.9401	-0.0200852	0.000905199	0.0136188	0.00121759
1.9501	-0.0199491	0.000913565	0.0136084	0.00122597
1.9601	-0.0198131	0.000921794	0.0135903	0.00123413
1.9701	-0.0196773	0.000929886	0.0135645	0.00124206
1.9801	-0.0195418	0.00093784	0.0135314	0.00124976
1.9901	-0.0194067	0.000945654	0.0134911	0.00125724
2.0001	-0.019272	0.000953328	0.013444	0.00126449
2.0101	-0.0191378	0.000960863	0.0133904	0.00127152
2.0201	-0.0190042	0.000968258	0.0133306	0.00127834
2.0301	-0.0188712	0.000975514	0.0132648	0.00128493
2.0401	-0.0187389	0.000982631	0.0131935	0.00129132
2.0501	-0.0186074	0.00098961	0.0131168	0.00129749
2.0601	-0.0184766	0.000996452	0.0130352	0.00130345
2.0701	-0.0183467	0.00100316	0.0129489	0.0013092
2.0801	-0.0182177	0.00100973	0.0128583	0.00131476
2.0901	-0.0180895	0.00101617	0.0127637	0.00132011
2.1001	-0.0179624	0.00102248	0.0126654	0.00132527
2.1101	-0.0178363	0.00102866	0.0125637	0.00133024
2.1201	-0.0177111	0.00103471	0.0124589	0.00133502
2.1301	-0.0175871	0.00104064	0.0123513	0.00133962
2.1401	-0.0174641	0.00104645	0.0122412	0.00134404
2.1501	-0.0173423	0.00105213	0.0121289	0.00134829
2.1601	-0.0172215	0.0010577	0.0120146	0.00135236
2.1701	-0.017102	0.00106315	0.0118986	0.00135627
2.1801	-0.0169836	0.00106849	0.011781	0.00136001
2.1901	-0.0168664	0.00107372	0.0116623	0.00136359
2.2001	-0.0167503	0.00107883	0.0115425	0.00136702
2.2101	-0.0166355	0.00108385	0.0114218	0.0013703
2.2201	-0.0165219	0.00108876	0.0113006	0.00137343
2.2301	-0.0164095	0.00109357	0.0111789	0.00137641
2.2401	-0.0162983	0.00109828	0.0110569	0.00137926
2.2501	-0.0161884	0.0011029	0.0109348	0.00138197
2.2601	-0.0160796	0.00110742	0.0108127	0.00138454
2.2701	-0.0159721	0.00111185	0.0106908	0.00138699
2.2801	-0.0158658	0.0011162	0.0105692	0.00138932
2.2901	-0.0157607	0.00112046	0.0104481	0.00139152
2.3001	-0.0156569	0.00112463	0.0103275	0.0013936
2.3101	-0.0155542	0.00112873	0.0102075	0.00139556
2.3201	-0.0154527	0.00113274	0.0100883	0.00139742
2.3301	-0.0153524	0.00113668	0.00996993	0.00139916
2.3401	-0.0152533	0.00114055	0.00985243	0.0014008
2.3501	-0.0151554	0.00114434	0.0097359	0.00140234
2.3601	-0.0150586	0.00114806	0.0096204	0.00140378
2.3701	-0.0149629	0.00115171	0.00950599	0.00140512
2.3801	-0.0148685	0.0011553	0.00939272	0.00140636
2.3901	-0.0147751	0.00115883	0.00928063	0.00140752
2.4001	-0.0146828	0.00116229	0.00916976	0.00140858
2.4101	-0.0145917	0.00116569	0.00906015	0.00140956
2.4201	-0.0145016	0.00116903	0.00895182	0.00141045
2.4301	-0.0144126	0.00117231	0.0088448	0.00141126
2.4401	-0.0143247	0.00117554	0.00873911	0.00141199
2.4501	-0.0142379	0.00117872	0.00863477	0.00141265
2.4601	-0.014152	0.00118184	0.00853178	0.00141323
