8
3905
0
1
2 -112 0
4 -108 -2
4 -108 2
4 -106 -4
24 -106 -2
8 -106 0
24 -106 2
4 -106 4
4 -104 -6
12 -104 -4
44 -104 -2
36 -104 0
44 -104 2
12 -104 4
4 -104 6
4 -102 -8
12 -102 -6
68 -102 -4
44 -102 -2
128 -102 0
44 -102 2
68 -102 4
12 -102 6
4 -102 8
4 -100 -10
12 -100 -8
72 -100 -6
276 -100 -4
280 -100 -2
608 -100 0
280 -100 2
276 -100 4
72 -100 6
12 -100 8
4 -100 10
4 -98 -12
12 -98 -10
80 -98 -8
288 -98 -6
800 -98 -4
1044 -98 -2
1368 -98 0
1044 -98 2
800 -98 4
288 -98 6
80 -98 8
12 -98 10
4 -98 12
4 -96 -16
4 -96 -14
12 -96 -12
80 -96 -10
308 -96 -8
1108 -96 -6
1784 -96 -4
3256 -96 -2
3008 -96 0
3256 -96 2
1784 -96 4
1108 -96 6
308 -96 8
80 -96 10
12 -96 12
4 -96 14
4 -96 16
24 -94 -14
84 -94 -12
348 -94 -10
1280 -94 -8
3760 -94 -6
5584 -94 -4
10060 -94 -2
9112 -94 0
10060 -94 2
5584 -94 4
3760 -94 6
1280 -94 8
348 -94 10
84 -94 12
24 -94 14
42 -92 -16
136 -92 -14
426 -92 -12
1448 -92 -10
4758 -92 -8
10940 -92 -6
19290 -92 -4
28392 -92 -2
30360 -92 0
28392 -92 2
19290 -92 4
10940 -92 6
4758 -92 8
1448 -92 10
426 -92 12
136 -92 14
42 -92 16
24 -90 -18
36 -90 -16
460 -90 -14
1732 -90 -12
5832 -90 -10
15992 -90 -8
32200 -90 -6
57824 -90 -4
72820 -90 -2
85552 -90 0
72820 -90 2
57824 -90 4
32200 -90 6
15992 -90 8
5832 -90 10
1732 -90 12
460 -90 14
36 -90 16
24 -90 18
108 -88 -18
526 -88 -16
2064 -88 -14
7104 -88 -12
20020 -88 -10
50856 -88 -8
96264 -88 -6
163856 -88 -4
204344 -88 -2
239384 -88 0
204344 -88 2
163856 -88 4
96264 -88 6
50856 -88 8
20020 -88 10
7104 -88 12
2064 -88 14
526 -88 16
108 -88 18
24 -86 -20
288 -86 -18
1716 -86 -16
6820 -86 -14
23996 -86 -12
68932 -86 -10
157060 -86 -8
292668 -86 -6
457680 -86 -4
590276 -86 -2
650872 -86 0
590276 -86 2
457680 -86 4
292668 -86 6
157060 -86 8
68932 -86 10
23996 -86 12
6820 -86 14
1716 -86 16
288 -86 18
24 -86 20
150 -84 -20
1484 -84 -18
7514 -84 -16
26592 -84 -14
83626 -84 -12
221100 -84 -10
462354 -84 -8
847936 -84 -6
1258744 -84 -4
1645244 -84 -2
1749560 -84 0
1645244 -84 2
1258744 -84 4
847936 -84 6
462354 -84 8
221100 -84 10
83626 -84 12
26592 -84 14
7514 -84 16
1484 -84 18
150 -84 20
24 -82 -22
912 -82 -20
4480 -82 -18
24392 -82 -16
89900 -82 -14
270656 -82 -12
669816 -82 -10
1363340 -82 -8
2386112 -82 -6
3458184 -82 -4
4410836 -82 -2
4685320 -82 0
4410836 -82 2
3458184 -82 4
2386112 -82 6
1363340 -82 8
669816 -82 10
270656 -82 12
89900 -82 14
24392 -82 16
4480 -82 18
912 -82 20
24 -82 22
192 -80 -22
3266 -80 -20
20576 -80 -18
87948 -80 -16
303224 -80 -14
841606 -80 -12
1972016 -80 -10
3914890 -80 -8
6570328 -80 -6
9469772 -80 -4
11772000 -80 -2
12639834 -80 0
11772000 -80 2
9469772 -80 4
6570328 -80 6
3914890 -80 8
1972016 -80 10
841606 -80 12
303224 -80 14
87948 -80 16
20576 -80 18
3266 -80 20
192 -80 22
24 -78 -24
1484 -78 -22
12104 -78 -20
68556 -78 -18
277896 -78 -16
933452 -78 -14
2536976 -78 -12
5705748 -78 -10
10975820 -78 -8
17874032 -78 -6
25433320 -78 -4
31098408 -78 -2
33494152 -78 0
31098408 -78 2
25433320 -78 4
17874032 -78 6
10975820 -78 8
5705748 -78 10
2536976 -78 12
933452 -78 14
277896 -78 16
68556 -78 18
12104 -78 20
1484 -78 22
24 -78 24
234 -76 -24
6008 -76 -22
45794 -76 -20
241012 -76 -18
916078 -76 -16
2862556 -76 -14
7402964 -76 -12
16042724 -76 -10
29896596 -76 -8
47894632 -76 -6
67012778 -76 -4
81423924 -76 -2
87224040 -76 0
81423924 -76 2
67012778 -76 4
47894632 -76 6
29896596 -76 8
16042724 -76 10
7402964 -76 12
2862556 -76 14
916078 -76 16
241012 -76 18
45794 -76 20
6008 -76 22
234 -76 24
24 -74 -26
2004 -74 -24
26040 -74 -22
159852 -74 -20
760132 -74 -18
2804884 -74 -16
8376972 -74 -14
20886788 -74 -12
44186452 -74 -10
80162972 -74 -8
126495280 -74 -6
174092672 -74 -4
210605212 -74 -2
224193048 -74 0
210605212 -74 2
174092672 -74 4
126495280 -74 6
80162972 -74 8
44186452 -74 10
20886788 -74 12
8376972 -74 14
2804884 -74 16
760132 -74 18
159852 -74 20
26040 -74 22
2004 -74 24
24 -74 26
276 -72 -26
9474 -72 -24
90680 -72 -22
556192 -72 -20
2414644 -72 -18
8441234 -72 -16
24000112 -72 -14
57677178 -72 -12
118813488 -72 -10
211069994 -72 -8
328073372 -72 -6
446652566 -72 -4
537572644 -72 -2
570687316 -72 0
537572644 -72 2
446652566 -72 4
328073372 -72 6
211069994 -72 8
118813488 -72 10
57677178 -72 12
24000112 -72 14
8441234 -72 16
2414644 -72 18
556192 -72 20
90680 -72 22
9474 -72 24
276 -72 26
24 -70 -28
2472 -70 -26
44644 -70 -24
331604 -70 -22
1788184 -70 -20
7282720 -70 -18
24230172 -70 -16
66759716 -70 -14
155783868 -70 -12
313019236 -70 -10
546358108 -70 -8
836764520 -70 -6
1129491556 -70 -4
1351157876 -70 -2
1433035944 -70 0
1351157876 -70 2
1129491556 -70 4
836764520 -70 6
546358108 -70 8
313019236 -70 10
155783868 -70 12
66759716 -70 14
24230172 -70 16
7282720 -70 18
1788184 -70 20
331604 -70 22
44644 -70 24
2472 -70 26
24 -70 28
318 -68 -28
13464 -68 -26
161438 -68 -24
1117732 -68 -22
5586792 -68 -20
21646188 -68 -18
68368868 -68 -16
181528948 -68 -14
411480206 -68 -12
807948104 -68 -10
1388478524 -68 -8
2100058816 -68 -6
2813552644 -68 -4
3347556324 -68 -2
3547258452 -68 0
3347556324 -68 2
2813552644 -68 4
2100058816 -68 6
1388478524 -68 8
807948104 -68 10
411480206 -68 12
181528948 -68 14
68368868 -68 16
21646188 -68 18
5586792 -68 20
1117732 -68 22
161438 -68 24
13464 -68 26
318 -68 28
24 -66 -30
2912 -66 -28
66408 -66 -26
607576 -66 -24
3681776 -66 -22
16781064 -66 -20
61731268 -66 -18
187127012 -66 -16
481212240 -66 -14
1064424268 -66 -12
2049036592 -66 -10
3468313396 -66 -8
5187819592 -66 -6
6898250108 -66 -4
8171256692 -66 -2
8646849120 -66 0
8171256692 -66 2
6898250108 -66 4
5187819592 -66 6
3468313396 -66 8
2049036592 -66 10
1064424268 -66 12
481212240 -66 14
187127012 -66 16
61731268 -66 18
16781064 -66 20
3681776 -66 22
607576 -66 24
66408 -66 26
2912 -66 28
24 -66 30
10 -64 -32
384 -64 -30
17712 -64 -28
258792 -64 -26
2028376 -64 -24
11450636 -64 -22
49178332 -64 -20
171913000 -64 -18
501401528 -64 -16
1249444888 -64 -14
2698117708 -64 -12
5100597000 -64 -10
8510077030 -64 -8
12603506076 -64 -6
16639284968 -64 -4
19635620712 -64 -2
20747760464 -64 0
19635620712 -64 2
16639284968 -64 4
12603506076 -64 6
8510077030 -64 8
5100597000 -64 10
2698117708 -64 12
1249444888 -64 14
501401528 -64 16
171913000 -64 18
49178332 -64 20
