#H	log(g(EgsH))	g(EgsH)	EgsH
1.74	0.693147	2	-138.04
1.75	0.693147	2	-138.5
1.75	0.693147	2	-138.5
1.76	0.693147	2	-138.96
1.77	0.693147	2	-139.42
1.78	0.693147	2	-139.88
1.79	0.693147	2	-140.34
1.8	0.693147	2	-140.8
1.8	0.693147	2	-140.8
1.81	0.693147	2	-141.26
1.82	0.693147	2	-141.72
1.83	0.693147	2	-142.18
1.84	0.693147	2	-142.64
1.85	0.693147	2	-143.1
1.86	0.693147	2	-143.56
1.87	0.693147	2	-144.02
1.88	0.693147	2	-144.48
1.89	0.693147	2	-144.94
1.9	0.693147	2	-145.4
1.91	0.693147	2	-145.86
1.92	0.693147	2	-146.32
1.93	0.693147	2	-146.78
1.94	0.693147	2	-147.24
1.95	0.693147	2	-147.7
1.96	0.693147	2	-148.16
1.97	0.693147	2	-148.62
1.98	0.693147	2	-149.08
1.99	0.693147	2	-149.54
2	3.04452	21	-150
2	3.04452	21	-150
2	3.04452	21	-150
2	3.04452	21	-150
2.01	1.38629	4	-150.52
2.02	1.38629	4	-151.04
2.03	1.38629	4	-151.56
2.04	1.38629	4	-152.08
2.05	1.38629	4	-152.6
2.06	1.38629	4	-153.12
2.07	1.38629	4	-153.64
2.08	1.38629	4	-154.16
2.09	1.38629	4	-154.68
2.1	1.38629	4	-155.2
2.11	1.38629	4	-155.72
2.12	1.38629	4	-156.24
2.13	1.38629	4	-156.76
2.14	1.38629	4	-157.28
2.15	1.38629	4	-157.8
2.16	1.38629	4	-158.32
2.17	1.38629	4	-158.84
2.18	1.38629	4	-159.36
2.19	1.38629	4	-159.88
2.2	1.38629	4	-160.4
2.21	1.38629	4	-160.92
2.22	1.38629	4	-161.44
2.23	1.38629	4	-161.96
2.24	1.38629	4	-162.48
2.25	1.38629	4	-163
2.25	1.38629	4	-163
2.26	1.38629	4	-163.52
2.27	1.38629	4	-164.04
2.28	1.38629	4	-164.56
2.29	1.38629	4	-165.08
2.3	1.38629	4	-165.6
2.31	1.38629	4	-166.12
2.32	1.38629	4	-166.64
2.33	1.38629	4	-167.16
2.33333	1.38629	4	-167.333
2.34	1.38629	4	-167.68
2.35	1.38629	4	-168.2
2.36	1.38629	4	-168.72
2.37	1.38629	4	-169.24
2.38	1.38629	4	-169.76
2.39	1.38629	4	-170.28
2.4	1.38629	4	-170.8
2.41	1.38629	4	-171.32
2.42	1.38629	4	-171.84
2.43	1.38629	4	-172.36
2.44	1.38629	4	-172.88
2.45	1.38629	4	-173.4
