#T	E/N	M/N	C/N	Xi/N
0.9201	-0.018437	0.00207065	0.00443214	0.00950525
0.9301	-0.0183924	0.00206685	0.0044952	0.00940937
0.9401	-0.0183471	0.00206308	0.00455749	0.00931355
0.9501	-0.0183012	0.00205934	0.00461895	0.00921788
0.9601	-0.0182547	0.00205563	0.00467955	0.00912241
0.9701	-0.0182076	0.00205194	0.00473925	0.00902722
0.9801	-0.0181599	0.00204827	0.004798	0.00893237
0.9901	-0.0181117	0.00204462	0.00485577	0.00883792
1.0001	-0.0180628	0.00204098	0.00491254	0.00874392
1.0101	-0.0180134	0.00203735	0.00496825	0.00865043
1.0201	-0.0179635	0.00203373	0.00502289	0.0085575
1.0301	-0.017913	0.00203012	0.00507642	0.00846519
1.0401	-0.0178619	0.00202652	0.00512881	0.00837354
1.0501	-0.0178104	0.00202291	0.00518005	0.00828259
1.0601	-0.0177583	0.00201931	0.00523009	0.00819238
1.0701	-0.0177058	0.00201571	0.00527893	0.00810296
1.0801	-0.0176528	0.00201211	0.00532653	0.00801436
1.0901	-0.0175993	0.00200851	0.00537288	0.0079266
1.1001	-0.0175453	0.00200491	0.00541796	0.00783974
1.1101	-0.0174909	0.00200131	0.00546175	0.00775378
1.1201	-0.0174361	0.00199771	0.00550423	0.00766875
1.1301	-0.0173808	0.0019941	0.00554539	0.00758469
1.1401	-0.0173252	0.00199049	0.00558522	0.0075016
1.1501	-0.0172691	0.00198689	0.0056237	0.00741952
1.1601	-0.0172127	0.00198328	0.00566082	0.00733844
1.1701	-0.0171559	0.00197967	0.00569658	0.00725839
1.1801	-0.0170988	0.00197607	0.00573095	0.00717938
1.1901	-0.0170413	0.00197246	0.00576395	0.00710142
1.2001	-0.0169835	0.00196886	0.00579555	0.00702451
1.2101	-0.0169254	0.00196526	0.00582576	0.00694867
1.2201	-0.016867	0.00196167	0.00585457	0.00687389
1.2301	-0.0168083	0.00195808	0.00588198	0.00680018
1.2401	-0.0167494	0.00195451	0.00590799	0.00672754
1.2501	-0.0166902	0.00195093	0.0059326	0.00665597
1.2601	-0.0166307	0.00194737	0.0059558	0.00658546
1.2701	-0.016571	0.00194382	0.00597761	0.00651603
1.2801	-0.0165112	0.00194029	0.00599803	0.00644765
1.2901	-0.0164511	0.00193676	0.00601705	0.00638032
1.3001	-0.0163908	0.00193325	0.0060347	0.00631405
1.3101	-0.0163304	0.00192976	0.00605096	0.00624881
1.3201	-0.0162698	0.00192628	0.00606586	0.00618461
1.3301	-0.0162091	0.00192282	0.0060794	0.00612143
1.3401	-0.0161482	0.00191939	0.0060916	0.00605927
1.3501	-0.0160873	0.00191597	0.00610246	0.00599811
1.3601	-0.0160262	0.00191258	0.00611199	0.00593794
1.3701	-0.015965	0.0019092	0.00612022	0.00587876
1.3801	-0.0159038	0.00190586	0.00612715	0.00582054
1.3901	-0.0158425	0.00190254	0.0061328	0.00576328
1.4001	-0.0157811	0.00189924	0.00613719	0.00570696
1.4101	-0.0157197	0.00189597	0.00614034	0.00565157
1.4201	-0.0156583	0.00189273	0.00614226	0.0055971
1.4301	-0.0155969	0.00188952	0.00614297	0.00554353
1.4401	-0.0155355	0.00188634	0.00614249	0.00549085
1.4501	-0.0154741	0.00188318	0.00614084	0.00543904
1.4601	-0.0154127	0.00188006	0.00613805	0.00538809
1.4701	-0.0153513	0.00187697	0.00613413	0.00533799
1.4801	-0.01529	0.00187391	0.00612911	0.00528872
1.4901	-0.0152287	0.00187089	0.00612301	0.00524026
1.5001	-0.0151675	0.0018679	0.00611586	0.00519261
1.5101	-0.0151064	0.00186494	0.00610768	0.00514574
1.5201	-0.0150454	0.00186201	0.00609848	0.00509965
1.5301	-0.0149844	0.00185912	0.00608831	0.00505431
1.5401	-0.0149236	0.00185626	0.00607718	0.00500972
1.5501	-0.0148629	0.00185343	0.00606512	0.00496585
1.5601	-0.0148023	0.00185064	0.00605215	0.00492271
1.5701	-0.0147419	0.00184789	0.00603831	0.00488026
1.5801	-0.0146816	0.00184517	0.00602361	0.0048385
1.5901	-0.0146214	0.00184248	0.00600808	0.00479741
1.6001	-0.0145614	0.00183983	0.00599175	0.00475699
1.6101	-0.0145016	0.00183721	0.00597465	0.00471721
1.6201	-0.0144419	0.00183462	0.00595679	0.00467806
1.6301	-0.0143824	0.00183207	0.00593822	0.00463953
1.6401	-0.0143231	0.00182955	0.00591894	0.00460161
1.6501	-0.0142641	0.00182707	0.005899	0.00456429
1.6601	-0.0142052	0.00182462	0.00587841	0.00452755
1.6701	-0.0141465	0.0018222	0.00585721	0.00449138
1.6801	-0.014088	0.00181982	0.0058354	0.00445577
1.6901	-0.0140298	0.00181747	0.00581303	0.0044207
1.7001	-0.0139718	0.00181515	0.00579012	0.00438617
1.7101	-0.013914	0.00181286	0.00576668	0.00435216
1.7201	-0.0138564	0.0018106	0.00574275	0.00431867
1.7301	-0.0137991	0.00180838	0.00571835	0.00428568
1.7401	-0.0137421	0.00180618	0.0056935	0.00425318
1.7501	-0.0136853	0.00180402	0.00566822	0.00422116
1.7601	-0.0136287	0.00180188	0.00564254	0.00418961
1.7701	-0.0135724	0.00179978	0.00561648	0.00415853
1.7801	-0.0135164	0.0017977	0.00559006	0.00412789
1.7901	-0.0134606	0.00179565	0.0055633	0.0040977
1.8001	-0.0134051	0.00179363	0.00553623	0.00406794
1.8101	-0.0133499	0.00179164	0.00550886	0.0040386
1.8201	-0.0132949	0.00178967	0.00548121	0.00400968
1.8301	-0.0132403	0.00178774	0.0054533	0.00398117
1.8401	-0.0131859	0.00178583	0.00542516	0.00395305
1.8501	-0.0131318	0.00178394	0.00539679	0.00392532
1.8601	-0.0130779	0.00178208	0.00536822	0.00389798
1.8701	-0.0130244	0.00178025	0.00533947	0.003871
1.8801	-0.0129711	0.00177843	0.00531055	0.0038444
1.8901	-0.0129182	0.00177665	0.00528147	0.00381815
1.9001	-0.0128655	0.00177489	0.00525226	0.00379226
1.9101	-0.0128131	0.00177315	0.00522293	0.0037667
1.9201	-0.0127611	0.00177143	0.00519349	0.00374149
1.9301	-0.0127093	0.00176974	0.00516395	0.00371661
1.9401	-0.0126578	0.00176807	0.00513434	0.00369205
1.9501	-0.0126066	0.00176642	0.00510467	0.00366781
1.9601	-0.0125557	0.00176479	0.00507494	0.00364388
1.9701	-0.0125051	0.00176318	0.00504517	0.00362026
1.9801	-0.0124548	0.00176159	0.00501538	0.00359693
1.9901	-0.0124048	0.00176002	0.00498556	0.0035739
2.0001	-0.0123551	0.00175848	0.00495575	0.00355116
2.0101	-0.0123057	0.00175695	0.00492593	0.0035287
2.0201	-0.0122566	0.00175544	0.00489614	0.00350652
2.0301	-0.0122077	0.00175395	0.00486636	0.00348461
2.0401	-0.0121592	0.00175248	0.00483662	0.00346297
2.0501	-0.012111	0.00175102	0.00480693	0.00344159
2.0601	-0.0120631	0.00174958	0.00477728	0.00342047
2.0701	-0.0120155	0.00174816	0.0047477	0.0033996
2.0801	-0.0119681	0.00174676	0.00471818	0.00337898
2.0901	-0.0119211	0.00174537	0.00468874	0.00335861
2.1001	-0.0118744	0.001744	0.00465938	0.00333847
2.1101	-0.0118279	0.00174265	0.00463011	0.00331856
2.1201	-0.0117818	0.00174131	0.00460094	0.00329889
2.1301	-0.0117359	0.00173998	0.00457186	0.00327945
2.1401	-0.0116903	0.00173867	0.0045429	0.00326022
2.1501	-0.011645	0.00173738	0.00451404	0.00324122
2.1601	-0.0116	0.0017361	0.0044853	0.00322243
2.1701	-0.0115553	0.00173483	0.00445669	0.00320386
2.1801	-0.0115109	0.00173358	0.0044282	0.00318549
2.1901	-0.0114668	0.00173234	0.00439985	0.00316732
2.2001	-0.0114229	0.00173112	0.00437163	0.00314936
2.2101	-0.0113793	0.00172991	0.00434354	0.00313159
2.2201	-0.011336	0.00172871	0.00431561	0.00311402
2.2301	-0.011293	0.00172752	0.00428781	0.00309664
2.2401	-0.0112503	0.00172635	0.00426017	0.00307945
2.2501	-0.0112078	0.00172519	0.00423268	0.00306244
2.2601	-0.0111656	0.00172404	0.00420535	0.00304561
2.2701	-0.0111237	0.0017229	0.00417817	0.00302897
2.2801	-0.0110821	0.00172178	0.00415115	0.0030125
2.2901	-0.0110407	0.00172066	0.00412429	0.0029962
2.3001	-0.0109996	0.00171956	0.0040976	0.00298007
2.3101	-0.0109587	0.00171847	0.00407108	0.00296412
2.3201	-0.0109181	0.00171739	0.00404472	0.00294832
2.3301	-0.0108778	0.00171632	0.00401853	0.00293269
2.3401	-0.0108378	0.00171526	0.00399251	0.00291723
2.3501	-0.010798	0.00171421	0.00396666	0.00290191
2.3601	-0.0107584	0.00171317	0.00394099	0.00288676
2.3701	-0.0107192	0.00171214	0.00391549	0.00287176
2.3801	-0.0106801	0.00171112	0.00389016	0.00285691
2.3901	-0.0106414	0.00171011	0.00386501	0.0028422
2.4001	-0.0106028	0.00170911	0.00384003	0.00282765
2.4101	-0.0105646	0.00170812	0.00381523	0.00281323
2.4201	-0.0105265	0.00170714	0.00379061	0.00279896
2.4301	-0.0104887	0.00170616	0.00376616	0.00278484
2.4401	-0.0104512	0.0017052	0.0037419	0.00277084
2.4501	-0.0104139	0.00170424	0.0037178	0.00275699
