#H	EgsH	gMgs	Mgs
0	-82	1	-0.28125
0	-82	4	-0.25
0	-82	5	-0.21875
0	-82	4	-0.1875
0	-82	6	-0.15625
0	-82	6	-0.125
0	-82	3	-0.09375
0	-82	2	-0.0625
0	-82	1	-0.03125
0	-82	1	0.03125
0	-82	2	0.0625
0	-82	3	0.09375
0	-82	6	0.125
0	-82	6	0.15625
0	-82	4	0.1875
0	-82	5	0.21875
0	-82	4	0.25
0	-82	1	0.28125
