8
4120
0
6
1 -82 -18
4 -82 -16
5 -82 -14
4 -82 -12
6 -82 -10
6 -82 -8
3 -82 -6
2 -82 -4
1 -82 -2
1 -82 2
2 -82 4
3 -82 6
6 -82 8
6 -82 10
4 -82 12
5 -82 14
4 -82 16
1 -82 18
1 -80 -28
6 -80 -26
15 -80 -24
21 -80 -22
31 -80 -20
59 -80 -18
78 -80 -16
84 -80 -14
98 -80 -12
132 -80 -10
184 -80 -8
206 -80 -6
190 -80 -4
143 -80 -2
120 -80 0
143 -80 2
190 -80 4
206 -80 6
184 -80 8
132 -80 10
98 -80 12
84 -80 14
78 -80 16
59 -80 18
31 -80 20
21 -80 22
15 -80 24
6 -80 26
1 -80 28
7 -78 -30
37 -78 -28
102 -78 -26
191 -78 -24
303 -78 -22
433 -78 -20
578 -78 -18
738 -78 -16
839 -78 -14
979 -78 -12
1246 -78 -10
1636 -78 -8
1965 -78 -6
1969 -78 -4
1832 -78 -2
1736 -78 0
1832 -78 2
1969 -78 4
1965 -78 6
1636 -78 8
1246 -78 10
979 -78 12
839 -78 14
738 -78 16
578 -78 18
433 -78 20
303 -78 22
191 -78 24
102 -78 26
37 -78 28
7 -78 30
5 -76 -32
36 -76 -30
216 -76 -28
703 -76 -26
1521 -76 -24
2560 -76 -22
3800 -76 -20
5166 -76 -18
6640 -76 -16
8134 -76 -14
9616 -76 -12
11612 -76 -10
14073 -76 -8
16512 -76 -6
18000 -76 -4
18681 -76 -2
18896 -76 0
18681 -76 2
18000 -76 4
16512 -76 6
14073 -76 8
11612 -76 10
9616 -76 12
8134 -76 14
6640 -76 16
5166 -76 18
3800 -76 20
2560 -76 22
1521 -76 24
703 -76 26
216 -76 28
36 -76 30
5 -76 32
1 -74 -34
58 -74 -32
410 -74 -30
1505 -74 -28
4169 -74 -26
9139 -74 -24
16152 -74 -22
24640 -74 -20
34500 -74 -18
45405 -74 -16
57048 -74 -14
68484 -74 -12
80959 -74 -10
94900 -74 -8
108122 -74 -6
119234 -74 -4
125196 -74 -2
127078 -74 0
125196 -74 2
119234 -74 4
108122 -74 6
94900 -74 8
80959 -74 10
68484 -74 12
57048 -74 14
45405 -74 16
34500 -74 18
24640 -74 20
16152 -74 22
9139 -74 24
4169 -74 26
1505 -74 28
410 -74 30
58 -74 32
1 -74 34
63 -72 -34
502 -72 -32
2453 -72 -30
8188 -72 -28
21131 -72 -26
45499 -72 -24
83906 -72 -22
134437 -72 -20
195597 -72 -18
266268 -72 -16
343211 -72 -14
423500 -72 -12
502207 -72 -10
581507 -72 -8
656842 -72 -6
718730 -72 -4
757832 -72 -2
770322 -72 0
757832 -72 2
718730 -72 4
656842 -72 6
581507 -72 8
502207 -72 10
423500 -72 12
343211 -72 14
266268 -72 16
195597 -72 18
134437 -72 20
83906 -72 22
45499 -72 24
21131 -72 26
8188 -72 28
2453 -72 30
502 -72 32
63 -72 34
47 -70 -36
555 -70 -34
3326 -70 -32
13105 -70 -30
40181 -70 -28
99672 -70 -26
210264 -70 -24
389992 -70 -22
644542 -70 -20
964934 -70 -18
1341723 -70 -16
1761948 -70 -14
2207695 -70 -12
2650410 -70 -10
3069498 -70 -8
3452359 -70 -6
3759505 -70 -4
3962478 -70 -2
4032278 -70 0
3962478 -70 2
3759505 -70 4
3452359 -70 6
3069498 -70 8
2650410 -70 10
2207695 -70 12
1761948 -70 14
1341723 -70 16
964934 -70 18
644542 -70 20
389992 -70 22
210264 -70 24
99672 -70 26
40181 -70 28
