#H	M_sred	M2_sred	Xi
2.3	52	2704	0
2.31	52	2704	0
2.32	52	2704	0
2.33	52	2704	0
2.33333	52	2704	0
2.34	52	2704	0
2.35	52	2704	0
2.36	52	2704	0
2.37	52	2704	0
2.38	52	2704	0
2.39	52	2704	0
2.4	52	2704	0
2.41	52	2704	0
2.42	52	2704	0
2.43	52	2704	0
2.44	52	2704	0
2.45	52	2704	0
2.46	52	2704	0
2.47	52	2704	0
2.48	52	2704	0
2.49	52	2704	0
2.5	52	2704	0
2.5	52	2704	0
2.51	52	2704	0
2.52	52	2704	0
2.53	52	2704	0
2.54	52	2704	0
2.55	52	2704	0
2.56	52	2704	0
2.57	52	2704	0
2.58	52	2704	0
2.59	52	2704	0
2.6	52	2704	0
2.61	52	2704	0
2.62	52	2704	0
2.63	52	2704	0
2.64	52	2704	0
2.65	52	2704	0
2.66	52	2704	0
2.66667	52	2704	0
2.67	52	2704	0
2.68	52	2704	0
2.69	52	2704	0
2.7	52	2704	0
2.71	52	2704	0
2.72	52	2704	0
2.73	52	2704	0
2.74	52	2704	0
2.75	52	2704	0
2.76	52	2704	0
2.77	52	2704	0
2.78	52	2704	0
2.79	52	2704	0
2.8	52	2704	0
2.81	52	2704	0
2.82	52	2704	0
2.83	52	2704	0
2.84	52	2704	0
2.85	52	2704	0
2.86	52	2704	0
2.87	52	2704	0
2.88	52	2704	0
2.89	52	2704	0
2.9	52	2704	0
2.91	52	2704	0
2.92	52	2704	0
2.93	52	2704	0
2.94	52	2704	0
2.95	52	2704	0
2.96	52	2704	0
2.97	52	2704	0
2.98	52	2704	0
2.99	52	2704	0
3	52.6667	2774.67	2.17014
3	52.6667	2774.67	2.17014
3	52.6667	2774.67	2.17014
3.01	54	2916	0
3.02	54	2916	0
3.03	54	2916	0
3.04	54	2916	0
3.05	54	2916	0
3.06	54	2916	0
3.07	54	2916	0
3.08	54	2916	0
3.09	54	2916	0
3.1	54	2916	0
3.11	54	2916	0
3.12	54	2916	0
3.13	54	2916	0
3.14	54	2916	0
3.15	54	2916	0
3.16	54	2916	0
3.17	54	2916	0
3.18	54	2916	0
3.19	54	2916	0
3.2	54	2916	0
3.21	54	2916	0
3.22	54	2916	0
3.23	54	2916	0
3.24	54	2916	0
3.25	54	2916	0
3.26	54	2916	0
3.27	54	2916	0
3.28	54	2916	0
3.29	54	2916	0
3.3	54	2916	0
3.31	54	2916	0
3.32	54	2916	0
3.33	54	2916	0
3.34	54	2916	0
3.35	54	2916	0
